,0,1,2
0,1,Jigglypuff,0.08
1,2-4,Wario,0.08
2,2-4,Peach,0.08
3,2-4,Daisy,0.08
4,5,Palutena,0.105
5,6-7,Rosalina,0.1
6,6-7,Mega Man,0.1
7,8,Squirtle,0.095
8,9-13,Mr. Game & Watch,0.03
9,9-13,Pichu,0.09
10,9-13,Falco,0.09
11,9-13,Pikachu,0.09
12,9-13,Ness,0.09
13,14,Yoshi,0.068
14,15-19,Kirby,0.065
15,15-19,Zero Suit Samus,0.085
16,15-19,Bayonetta,0.085
17,15-19,Lucas,0.085
18,15-19,Ivysaur,0.085
19,20,Nana,0.084
20,21-29,Wolf,0.08
21,21-29,Fox,0.08
22,21-29,Sheik,0.08
23,21-29,Wii Fit Trainer,0.08
24,21-29,Lucario,0.08
25,21-29,Popo,0.08
26,21-29,Toon Link,0.08
27,21-29,Samus,0.05
28,21-29,Dark Samus,0.05
29,30,R.O.B.,0.045
30,31-40,Greninja,0.07
31,31-40,Bowser Jr,0.07
32,31-40,Robin,0.07
33,31-40,Inkling,0.07
34,31-40,Mario,0.07
35,31-40,Duck Hunt,0.07
36,31-40,Marth,0.07
37,31-40,Lucina,0.07
38,31-40,Olimar,0.07
39,31-40,PAC-MAN,0.07
40,41-45,Captain Falcon,0.065
41,41-45,Meta Knight,0.065
42,41-45,Pit,0.065
43,41-45,Dark Pit,0.065
44,41-45,Luigi,0.075
45,46-49,Mewtwo,0.05
46,46-49,Incineroar,0.06
47,46-49,Cloud,0.06
48,46-49,Ridley,0.06
49,50,Mii Brawler,0.058
50,51,Zelda,0.055
51,52,Dr Mario,0.053536
52,53-59,Young Link,0.04
53,53-59,Charizard,0.05
54,53-59,Mii Swordfighter,0.05
55,53-59,Piranha Plant,0.05
56,53-59,Donkey Kong,0.05
57,53-59,Villager,0.05
58,53-59,Isabelle,0.05
59,60,Mii Gunner,0.043
60,61-71,Roy,0.03
61,61-71,Chrom,0.03
62,61-71,Bowser,0.04
63,61-71,Shulk,0.04
64,61-71,Dedede,0.04
65,61-71,Link,0.04
66,61-71,Ike,0.04
67,61-71,Corrin,0.04
68,61-71,Sonic,0.04
69,61-71,King K. Rool,0.04
70,61-71,Diddy Kong,0.05
71,72-73,Little Mac,0.03
72,72-73,Ganondorf,0.03
73,74-75,Ryu,0.025
74,74-75,Ken,0.025
75,76-78,Snake,0.02
76,76-78,Richter,0.02
77,76-78,Simon,0.02
