,0,1,2
0,1,zero_suit_samus,2.42
1,2,little_mac,2.365
2,3,sonic,2.31
3,4,pt_charizard,2.288
4,5-9,bowser,2.255
5,5-9,lucario,2.255
6,5-9,lucina,2.255
7,5-9,marth,2.255
8,5-9,mewtwo,2.255
9,10,meta_knight,2.211
10,11-12,roy,2.2
11,11-12,chrom,2.2
12,13-14,greninja,2.178
13,13-14,sheik,2.178
14,15,cloud,2.145
15,16,inkling,2.118
16,17-23,wolf,2.09
17,17-23,fox,2.09
18,17-23,young_link,2.09
19,17-23,diddy_kong,2.09
20,17-23,donkey_kong,2.09
21,17-23,pit,2.09
22,17-23,dark_pit,2.09
23,24-26,palutena,2.035
24,24-26,falco,2.035
25,24-26,rosalina_and_luma,2.035
26,27,wii_fit_trainer,2.024
27,28,rob,2.002
28,29-34,pichu,1.98
29,29-34,captain_falcon,1.98
30,29-34,pikachu,1.98
31,29-34,link,1.98
32,29-34,yoshi,1.98
33,29-34,mr_game_and_watch,1.98
34,35-36,mega_man,1.958
35,35-36,zelda,1.958
36,37-42,bayonetta,1.936
37,37-42,king_k_rool,1.936
38,37-42,ken,1.936
39,37-42,mario,1.936
40,37-42,dr_mario,1.936
41,37-42,pt_squirtle,1.936
42,43,toon_link,1.914
43,44,pt_ivysaur,1.903
44,45,kirby,1.9
45,46,corrin,1.892
46,47-52,mii_brawler,1.87
47,47-52,ganondorf,1.87
48,47-52,shulk,1.87
49,47-52,pac_man,1.87
50,47-52,samus,1.87
51,47-52,dark_samus,1.87
52,53,wario,1.837
53,54-56,ness,1.826
54,54-56,peach,1.826
55,54-56,daisy,1.826
56,57,piranha_plant,1.82
57,58-64,king_dedede,1.815
58,58-64,ike,1.815
59,58-64,robin,1.815
60,58-64,lucas,1.815
61,58-64,villager,1.815
62,58-64,luigi,1.815
63,58-64,isabelle,1.815
64,65,ridley,1.8
65,66-70,incineroar,1.76
66,66-70,snake,1.76
67,66-70,duck_hunt,1.76
68,66-70,bowser_jr,1.76
69,66-70,ryu,1.76
70,71,mii_swordfighter,1.74
71,72-73,simon,1.73
72,72-73,richter,1.73
73,74,ice_climber,1.68
74,75,jigglypuff,1.65
75,76,mii_gunner,1.63
76,77,olimar,1.606
