,0,1,2
0,1,fox,2.1
1,2-4,little_mac,1.95
2,2-4,king_dedede,1.95
3,2-4,piranha_plant,1.95
4,5,mii_brawler,1.92
5,6,pichu,1.9
6,7,captain_falcon,1.865
7,8-10,richter,1.85
8,8-10,simon,1.85
9,8-10,greninja,1.85
10,11-16,wolf,1.8
11,11-16,falco,1.8
12,11-16,roy,1.8
13,11-16,chrom,1.8
14,11-16,young_link,1.8
15,11-16,mega_man,1.8
16,17,ridley,1.78
17,18-19,bowser,1.77
18,18-19,bayonetta,1.77
19,20,incineroar,1.76
20,21-22,sheik,1.75
21,21-22,diddy_kong,1.75
22,23,snake,1.73
23,24-25,zero_suit_samus,1.7
24,24-25,king_k_rool,1.7
25,26-27,cloud,1.68
26,26-27,lucario,1.68
27,28,meta_knight,1.66
28,29-34,sonic,1.65
29,29-34,corrin,1.65
30,29-34,ganondorf,1.65
31,29-34,ike,1.65
32,29-34,duck_hunt,1.65
33,29-34,bowser_jr,1.65
34,35,donkey_kong,1.63
35,36,wario,1.61
36,37-40,link,1.6
37,37-40,rob,1.6
38,37-40,ken,1.6
39,37-40,ryu,1.6
40,41-44,lucina,1.58
41,41-44,marth,1.58
42,41-44,shulk,1.58
43,41-44,inkling,1.58
44,45-48,palutena,1.55
45,45-48,mewtwo,1.55
46,45-48,pikachu,1.55
47,45-48,mii_swordfighter,1.55
48,49,pt_charizard,1.52
49,50-52,mario,1.5
50,50-52,dr_mario,1.5
51,50-52,robin,1.5
52,53-54,pit,1.48
53,53-54,dark_pit,1.48
54,55,mii_gunner,1.45
55,56-57,pt_ivysaur,1.38
56,56-57,toon_link,1.38
57,58,lucas,1.37
58,59-62,olimar,1.35
59,59-62,pac_man,1.35
60,59-62,pt_squirtle,1.35
61,59-62,zelda,1.35
62,63-64,samus,1.33
63,63-64,dark_samus,1.33
64,65-66,luigi,1.32
65,65-66,villager,1.32
66,67,ness,1.31
67,68-70,ice_climber,1.3
68,68-70,wii_fit_trainer,1.3
69,68-70,isabelle,1.3
70,71,yoshi,1.29
71,72,mr_game_and_watch,1.24
72,73,kirby,1.23
73,74,rosalina_and_luma,1.2
74,75-76,peach,1.19
75,75-76,daisy,1.19
76,77,jigglypuff,0.98
