,0,1,2
0,1,sonic,3.85
1,2,captain_falcon,2.552
2,3,little_mac,2.464
3,4,sheik,2.42
4,5,fox,2.402
5,6,zero_suit_samus,2.31
6,7,greninja,2.288
7,8,mewtwo,2.255
8,9-10,pt_charizard,2.2
9,9-10,ridley,2.2
10,11,cloud,2.167
11,12-13,roy,2.145
12,12-13,chrom,2.145
13,14,meta_knight,2.09
14,15,palutena,2.077
15,16,yoshi,2.046
16,17,pikachu,2.039
17,18,diddy_kong,2.006
18,19,bowser,1.971
19,20-21,lucina,1.964
20,20-21,marth,1.964
21,22,inkling,1.925
22,23,mii_brawler,1.92
23,24,toon_link,1.906
24,25,pichu,1.892
25,26,donkey_kong,1.873
26,27,wii_fit_trainer,1.866
27,28-29,pit,1.828
28,28-29,dark_pit,1.828
29,30,rosalina_and_luma,1.795
30,31,duck_hunt,1.793
31,32-35,mario,1.76
32,32-35,ken,1.76
33,32-35,bayonetta,1.76
34,32-35,pt_squirtle,1.76
35,36,young_link,1.749
36,37,kirby,1.727
37,38,rob,1.725
38,39,piranha_plant,1.72
39,40,lucario,1.705
40,41,ice_climber,1.683
41,42,mr_game_and_watch,1.679
42,43-44,shulk,1.672
43,43-44,pac_man,1.672
44,45-46,samus,1.654
45,45-46,dark_samus,1.654
46,47-49,lucas,1.65
47,47-49,luigi,1.65
48,47-49,wario,1.65
49,50,falco,1.619
50,51,olimar,1.617
51,52,ness,1.609
52,53,mega_man,1.602
53,54,ryu,1.6
54,55-59,peach,1.595
55,55-59,daisy,1.595
56,55-59,corrin,1.595
57,55-59,pt_ivysaur,1.595
58,55-59,snake,1.595
59,60,mii_swordfighter,1.58
60,61,bowser_jr,1.566
61,62,wolf,1.54
62,63,link,1.534
63,64,ice_climber,1.53
64,65-66,simon,1.52
65,65-66,richter,1.52
66,67,ike,1.507
67,68,king_dedede,1.496
68,69,king_k_rool,1.485
69,70,isabelle,1.48
70,71,zelda,1.43
71,72,dr_mario,1.397792
72,73,villager,1.397
73,74,mii_gunner,1.37
74,75,ganondorf,1.34
75,76,jigglypuff,1.271
76,77,robin,1.265
77,78,incineroar,1.18
