,0,1,2
0,1-2,Marth,1.575
1,1-2,Lucina,1.575
2,3,Fox,1.523
3,4,Greninja,1.502
4,5-6,Sheik,1.47
5,5-6,Zero Suit Samus,1.47
6,7,Sonic,1.444
7,8,Little Mac,1.386
8,9,Donkey Kong,1.365
9,10,Falco,1.344
10,11,Diddy Kong,1.313
11,12-13,Pikachu,1.302
12,12-13,Pichu,1.302
13,14,Toon Link,1.288
14,15,Squirtle,1.281
15,16,Palutena,1.271
16,17-19,Mewtwo,1.26
17,17-19,Young Link,1.26
18,17-19,Mii Brawler,1.26
19,20-21,Pit,1.259
20,20-21,Dark Pit,1.259
21,22,Link,1.247
22,23,Meta Knight,1.239
23,24,Wii Fit Trainer,1.224
24,25,Duck Hunt,1.213
25,26-30,Wolf,1.208
26,26-30,Corrin,1.208
27,26-30,Chrom,1.208
28,26-30,Roy,1.208
29,26-30,Yoshi,1.208
30,31,Charizard,1.187
31,32,Mr. Game & Watch,1.18
32,33,R.O.B.,1.178
33,34-36,Cloud,1.155
34,34-36,Shulk,1.155
35,34-36,Mario,1.155
36,37,Isabelle,1.14
37,38,Rosalina,1.138
38,39-40,Inkling,1.134
39,39-40,Luigi,1.134
40,41,Mega Man,1.132
41,42-43,Samus,1.115
42,42-43,Dark Samus,1.115
43,44,Nana,1.1088
44,45-46,Ivysaur,1.103
45,45-46,Lucario,1.103
46,47,Ridley,1.1
47,48,PAC-MAN,1.097
48,49,Villager,1.092
49,50,Mii Swordspider,1.07
50,51,King Dedede,1.029
51,52,Popo,1.008
52,53,Mii Gunner,1
53,54,Captain Falcon,0.987
54,55,Kirby,0.977
55,56-57,Bayonetta,0.945
56,56-57,Olimar,0.945
57,58,Robin,0.936
58,59-61,Bowser Jr,0.924
59,59-61,Peach,0.924
60,59-61,Daisy,0.924
61,62,Dr. Mario,0.917301
62,63,Zelda,0.914
63,64,Ike,0.912
64,65,Ness,0.907
65,66,King K. Rool,0.903
66,67,Bowser,0.901
67,68,Lucas,0.893
68,69,Wario,0.889
69,70,Snake,0.882
70,71,Ken,0.825
71,72,Ganondorf,0.767
72,73-75,Richter,0.76
73,73-75,Simon,0.76
74,73-75,Piranha Plant,0.76
75,76,Ryu,0.75
76,77,Jigglypuff,0.735
77,78,Incineroar,0.62
