,0,1,2
0,1,Sonic,3.85
1,2,Captain Falcon,2.552
2,3,Little Mac,2.464
3,4,Sheik,2.42
4,5,Fox,2.402
5,6,Zero Suit Samus,2.31
6,7,Greninja,2.288
7,8,Mewtwo,2.255
8,9-10,Charizard,2.2
9,9-10,Ridley,2.2
10,11,Cloud,2.167
11,12-13,Roy,2.145
12,12-13,Chrom,2.145
13,14,Meta Knight,2.09
14,15,Palutena,2.077
15,16,Yoshi,2.046
16,17,Pikachu,2.039
17,18,Diddy Kong,2.006
18,19,Bowser,1.971
19,20-21,Lucina,1.964
20,20-21,Marth,1.964
21,22,Inkling,1.925
22,23,Mii Brawler,1.92
23,24,Toon Link,1.906
24,25,Pichu,1.892
25,26,Donkey Kong,1.873
26,27,Wii Fit Trainer,1.866
27,28-29,Pit,1.828
28,28-29,Dark Pit,1.828
29,30,Rosalina,1.795
30,31,Duck Hunt,1.793
31,32-35,Mario,1.76
32,32-35,Ken,1.76
33,32-35,Bayonetta,1.76
34,32-35,Squirtle,1.76
35,36,Young Link,1.749
36,37,Kirby,1.727
37,38,R.O.B.,1.725
38,39,Piranha Plant,1.72
39,40,Lucario,1.705
40,41,Nana,1.683
41,42,Mr. Game & Watch,1.679
42,43-44,Shulk,1.672
43,43-44,PAC-MAN,1.672
44,45-46,Samus,1.654
45,45-46,Dank Samus,1.654
46,47-49,Lucas,1.65
47,47-49,Luigi,1.65
48,47-49,Wario,1.65
49,50,Falco,1.619
50,51,Olimar,1.617
51,52,Ness,1.609
52,53,Mega Man,1.602
53,54,Ryu,1.6
54,55-59,Peach,1.595
55,55-59,Daisy,1.595
56,55-59,Corrin,1.595
57,55-59,Ivysaur,1.595
58,55-59,Snake,1.595
59,60,Mii Swordfighter,1.58
60,61,Bowser Jr,1.566
61,62,Wolf,1.54
62,63,Link,1.534
63,64,Popo,1.53
64,65-66,Simon,1.52
65,65-66,Richter,1.52
66,67,Ike,1.507
67,68,King Dedede,1.496
68,69,King K. Rool,1.485
69,70,Isabelle,1.48
70,71,Zelda,1.43
71,72,Dr. Mario,1.397792
72,73,Villager,1.397
73,74,Mii Gunner,1.37
74,75,Ganondorf,1.34
75,76,Jigglypuff,1.271
76,77,Robin,1.265
77,78,Incineroar,1.18
