,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
bowser
</h1>","
				Ledge Hang
			","
		34/43
		","
		--
		","
		10—11
		"
1,"<h1 class=""charactername"">
bowser
</h1>","
		Jab 1
		","
		7
		","
		-13
		","
		7—8
		"
2,"<h1 class=""charactername"">
bowser
</h1>","
		Jab 2
		","
		9
		","
		-9
		","
		9—11
		"
3,"<h1 class=""charactername"">
bowser
</h1>","
		Forward Tilt
		","
		10
		","
		-15
		","
		10—14
		"
4,"<h1 class=""charactername"">
bowser
</h1>","
		Up Tilt
		","
		11
		","
		-19
		","
		11—16
		"
5,"<h1 class=""charactername"">
bowser
</h1>","
		Down Tilt
		","
		10/15
		","
		-22
		","
		10—12/15—17
		"
6,"<h1 class=""charactername"">
bowser
</h1>","
		Dash Attack
		","
		11
		","
		-33
		","
		11—14/15—20
		"
7,"<h1 class=""charactername"">
bowser
</h1>","
		Forward Smash
		","
		22
		","
		-32
		","
		22—23
		"
8,"<h1 class=""charactername"">
bowser
</h1>","
		Up Smash
		","
		16/37
		","
		-27/-30/-12
		","
		16—23/37
		"
9,"<h1 class=""charactername"">
bowser
</h1>","
		Down Smash
		","
		12/28
		","
		-49/-34
		","
		12—14/28—30
		"
10,"<h1 class=""charactername"">
bowser
</h1>","
		Neutral Air
		","
		8/14/18/**
		","
		-12
		","
		8—29/14—29/18—29/18—29
		"
11,"<h1 class=""charactername"">
bowser
</h1>","
		Forward Air
		","
		11
		","
		-9/-10
		","
		11—14
		"
12,"<h1 class=""charactername"">
bowser
</h1>","
		Back Air
		","
		9
		","
		-17
		","
		9—11
		"
13,"<h1 class=""charactername"">
bowser
</h1>","
		Up Air
		","
		9
		","
		-12
		","
		9—13
		"
14,"<h1 class=""charactername"">
bowser
</h1>","
		Down Air
		","
		17
		","
		-31
		","
		17—24/25—49/1—6
		"
15,"<h1 class=""charactername"">
bowser
</h1>","
		Neutral B (Fire Breath)
		","
		23/30/37/44...
		","
		--
		","
		23/30/37/44...
		"
16,"<h1 class=""charactername"">
bowser
</h1>","
		Side B (Flying Slam)
		","
		6
		","
		--
		","
		6
		"
17,"<h1 class=""charactername"">
bowser
</h1>","
		Up B (Whirling Fortress)
		","
		6...
		","
		-36
		","
		6—38/39 (rehit: 5)
		"
18,"<h1 class=""charactername"">
bowser
</h1>","
		Up B, Air (Whirling Fortress, Air)
		","
		6...
		","
		--
		","
		6—7/8—11/12—15/16—19/20—23/24—27/28—31/32—35/36—39/40—43/44—47/48—51 (rehit: 5)
		"
19,"<h1 class=""charactername"">
bowser
</h1>","
		Down B (Bowser Bomb)
		","
		11/37.../1
		","
		--
		","
		11/37.../1—2
		"
20,"<h1 class=""charactername"">
bowser
</h1>","
		Down B, Air (Bowser Bomb, Air)
		","
		31.../1
		","
		--
		","
		31.../1—2
		"
21,"<h1 class=""charactername"">
bowser
</h1>","
		Grab
		","
		8
		","
		--
		","
		8—10
		"
22,"<h1 class=""charactername"">
bowser
</h1>","
		Dash Grab
		","
		11
		","
		--
		","
		11—13
		"
23,"<h1 class=""charactername"">
bowser
</h1>","
		Pivot Grab
		","
		12
		","
		--
		","
		12—14
		"
24,"<h1 class=""charactername"">
bowser
</h1>","
		Pummel
		","
		2
		","
		--
		","
		12—14
		"
25,"<h1 class=""charactername"">
bowser
</h1>","
		Forward Throw
		","
		36
		","
		--
		","
		12—14
		"
26,"<h1 class=""charactername"">
bowser
</h1>","
		Backward Throw
		","
		19
		","
		--
		","
		12—14
		"
27,"<h1 class=""charactername"">
bowser
</h1>","
		Up Throw
		","
		21/25/29/33/37/41/45/49/57
		","
		--
		","
		12—14
		"
28,"<h1 class=""charactername"">
bowser
</h1>","
		Down Throw
		","
		35/37
		","
		--
		","
		12—14
		"
29,"<h1 class=""charactername"">
bowser
</h1>","
		Spot Dodge
		","
		35/37
		","
		--
		","
		12—14
		"
30,"<h1 class=""charactername"">
bowser
</h1>","
		Forward Roll
		","
		35/37
		","
		--
		","
		12—14
		"
31,"<h1 class=""charactername"">
bowser
</h1>","
		Backward Roll
		","
		35/37
		","
		--
		","
		12—14
		"
32,"<h1 class=""charactername"">
bowser
</h1>","
		Neutral Air Dodge
		","
		35/37
		","
		--
		","
		12—14
		"
33,"<h1 class=""charactername"">
bowser
</h1>","
		Air Dodge, Down
		","
		35/37
		","
		--
		","
		12—14
		"
34,"<h1 class=""charactername"">
bowser
</h1>","
		Air Dodge, Diagonally Down
		","
		35/37
		","
		--
		","
		12—14
		"
35,"<h1 class=""charactername"">
bowser
</h1>","
		Air Dodge, Left/Right
		","
		35/37
		","
		--
		","
		12—14
		"
36,"<h1 class=""charactername"">
bowser
</h1>","
		Air Dodge, Diagonally Up
		","
		35/37
		","
		--
		","
		12—14
		"
37,"<h1 class=""charactername"">
bowser
</h1>","
		Air Dodge, Up
		","
		35/37
		","
		--
		","
		12—14
		"
38,"<h1 class=""charactername"">
bowser
</h1>","
			Ledge Grab
		","
		35/37
		","
		--
		","
		12—14
		"
39,"<h1 class=""charactername"">
bowser
</h1>","
			Ledge Grab
		","
		35/37
		","
		--
		","
		12—14
		"
40,"<h1 class=""charactername"">
bowser
</h1>","
				Ledge Hang
			","
		35/37
		","
		--
		","
		12—14
		"
