,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
byleth
</h1>","
		Jab 1
		","
		4
		","
		-15
		","
		4—5
		"
1,"<h1 class=""charactername"">
byleth
</h1>","
		Jab 2
		","
		4
		","
		-17
		","
		4—5
		"
2,"<h1 class=""charactername"">
byleth
</h1>","
		Jab 3
		","
		5
		","
		-22
		","
		5—7
		"
3,"<h1 class=""charactername"">
byleth
</h1>","
		Rapid Jab
		","
		11
		","
		**
		","
		11/14/17/20/23/...
		"
4,"<h1 class=""charactername"">
byleth
</h1>","
		Rapid Jab Finisher
		","
		6
		","
		-40
		","
		6—7
		"
5,"<h1 class=""charactername"">
byleth
</h1>","
		Forward Tilt
		","
		8
		","
		-15
		","
		8—10
		"
6,"<h1 class=""charactername"">
byleth
</h1>","
		Up Tilt
		","
		9
		","
		-15
		","
		9—15
		"
7,"<h1 class=""charactername"">
byleth
</h1>","
		Down Tilt
		","
		13
		","
		-14
		","
		13—15
		"
8,"<h1 class=""charactername"">
byleth
</h1>","
		Dash Attack
		","
		9
		","
		-26/-23
		","
		9—11
		"
9,"<h1 class=""charactername"">
byleth
</h1>","
		Forward Smash
		","
		23
		","
		-31/-27 || -32/-28 || -32/-28
		","
		23—25
		"
10,"<h1 class=""charactername"">
byleth
</h1>","
		Up Smash
		","
		13
		","
		-22
		","
		13—16(rehit: 7)/17—27(rehit: 4)/28—29
		"
11,"<h1 class=""charactername"">
byleth
</h1>","
		Down Smash
		","
		19/29
		","
		-40/-30
		","
		19—21/29—31
		"
12,"<h1 class=""charactername"">
byleth
</h1>","
		Neutral Air
		","
		6...
		","
		-11/-11/-9
		","
		6—26(rehit: 7)/28/2 
		"
13,"<h1 class=""charactername"">
byleth
</h1>","
		Forward Air
		","
		12
		","
		-7/-6
		","
		12—13
		"
14,"<h1 class=""charactername"">
byleth
</h1>","
		Back Air
		","
		13
		","
		-9/-8
		","
		13—14(15—17)
		"
15,"<h1 class=""charactername"">
byleth
</h1>","
		Up Air
		","
		10...
		","
		-12/-11
		","
		10—19(rehit: 5)/20—23
		"
16,"<h1 class=""charactername"">
byleth
</h1>","
		Down Air
		","
		22
		","
		-21
		","
		22—24
		"
17,"<h1 class=""charactername"">
byleth
</h1>","
		Neutral B (Failnaught)
		","
		45/114
		","
		-8/-21
		","
		45—61 / 114
		"
18,"<h1 class=""charactername"">
byleth
</h1>","
		Side B (Areadbhar)
		","
		Ground: 20 || Air: 21
		","
		-34/-30
		","
		Ground: 20/21/22—24 || Air: 21—24
		"
19,"<h1 class=""charactername"">
byleth
</h1>","
		Up B (Sword of the Creator)
		","
		11/12/46
		","
		-35(ground) || **(air)
		","
		11/12—19/46(ground) || 12—19/46(air)
		"
20,"<h1 class=""charactername"">
byleth
</h1>","
		Down B (Aymr)
		","
		62
		","
		**
		","
		62—67/2—5
		"
21,"<h1 class=""charactername"">
byleth
</h1>","
		Grab
		","
		6
		","
		**
		","
		6—7
		"
22,"<h1 class=""charactername"">
byleth
</h1>","
		Dash Grab
		","
		10
		","
		**
		","
		10—11
		"
23,"<h1 class=""charactername"">
byleth
</h1>","
		Pivot Grab
		","
		11
		","
		**
		","
		11—12
		"
24,"<h1 class=""charactername"">
byleth
</h1>","
		Pummel
		","
		1
		","
		**
		","
		11—12
		"
25,"<h1 class=""charactername"">
byleth
</h1>","
		Forward Throw
		","
		13
		","
		**
		","
		11—12
		"
26,"<h1 class=""charactername"">
byleth
</h1>","
		Backward Throw
		","
		30
		","
		**
		","
		11—12
		"
27,"<h1 class=""charactername"">
byleth
</h1>","
		Up Throw
		","
		15
		","
		**
		","
		11—12
		"
28,"<h1 class=""charactername"">
byleth
</h1>","
		Down Throw
		","
		13
		","
		**
		","
		11—12
		"
29,"<h1 class=""charactername"">
byleth
</h1>","
		Spot Dodge
		","
		13
		","
		**
		","
		11—12
		"
30,"<h1 class=""charactername"">
byleth
</h1>","
		Forward Roll
		","
		13
		","
		**
		","
		11—12
		"
31,"<h1 class=""charactername"">
byleth
</h1>","
		Backward Roll
		","
		13
		","
		**
		","
		11—12
		"
32,"<h1 class=""charactername"">
byleth
</h1>","
		Neutral Air Dodge
		","
		13
		","
		**
		","
		11—12
		"
33,"<h1 class=""charactername"">
byleth
</h1>","
		Air Dodge, Down
		","
		13
		","
		**
		","
		11—12
		"
34,"<h1 class=""charactername"">
byleth
</h1>","
		Air Dodge, Diagonally Down
		","
		13
		","
		**
		","
		11—12
		"
35,"<h1 class=""charactername"">
byleth
</h1>","
		Air Dodge, Left/Right
		","
		13
		","
		**
		","
		11—12
		"
36,"<h1 class=""charactername"">
byleth
</h1>","
		Air Dodge, Diagonally Up
		","
		13
		","
		**
		","
		11—12
		"
37,"<h1 class=""charactername"">
byleth
</h1>","
		Air Dodge, Up
		","
		13
		","
		**
		","
		11—12
		"
38,"<h1 class=""charactername"">
byleth
</h1>","
			Ledge Grab
		","
		13
		","
		**
		","
		11—12
		"
39,"<h1 class=""charactername"">
byleth
</h1>","
			Ledge Grab
		","
		13
		","
		**
		","
		11—12
		"
40,"<h1 class=""charactername"">
byleth
</h1>","
				Ledge Hang
			","
		13
		","
		**
		","
		11—12
		"
