,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Jab 1
		","
		3
		","
		-11
		","
		3
		"
1,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Jab 2
		","
		5
		","
		-10
		","
		5
		"
2,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Jab 3
		","
		6
		","
		-20
		","
		6—7
		"
3,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Rapid Jab
		","
		5/7/9
		","
		--
		","
		**
		"
4,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Rapid Jab Finisher
		","
		6
		","
		-39
		","
		6—7
		"
5,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Forward Tilt
		","
		7
		","
		-14/-13
		","
		7—10
		"
6,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Up Tilt
		","
		14
		","
		-12
		","
		14—17
		"
7,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Down Tilt
		","
		11
		","
		-13
		","
		11—12
		"
8,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Dash Attack
		","
		7
		","
		-10
		","
		7—9(10—16)
		"
9,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Forward Smash
		","
		19
		","
		-27
		","
		19—22
		"
10,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Up Smash
		","
		22/28
		","
		-7
		","
		22(23)/28—29
		"
11,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Down Smash
		","
		19/29
		","
		-19/-7
		","
		19—20/29—30
		"
12,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Neutral Air
		","
		7/13
		","
		-4/-4
		","
		7—8/13—15
		"
13,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Forward Air
		","
		14
		","
		-11/-15
		","
		14(15—30)
		"
14,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Back Air
		","
		10
		","
		-5/-7
		","
		10—11(12—15)
		"
15,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Up Air
		","
		7
		","
		-6/-6/-6
		","
		7—10(11—12)
		"
16,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Down Air
		","
		16
		","
		-7
		","
		16—18
		"
17,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Neutral B (Falcon Punch)
		","
		53/62
		","
		-28/-31
		","
		53—57/62—66
		"
18,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Side B (Raptor Boost)
		","
		5(+10)
		","
		-12
		","
		**
		"
19,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Side B, Air (Raptor Boost, Air)
		","
		5(+19)
		","
		--
		","
		**
		"
