,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
cloud
</h1>","
		Jab 1
		","
		4
		","
		-21
		","
		4—5
		"
1,"<h1 class=""charactername"">
cloud
</h1>","
		Jab 2
		","
		5
		","
		-24
		","
		5—6
		"
2,"<h1 class=""charactername"">
cloud
</h1>","
		Jab 3
		","
		6
		","
		-27
		","
		6—7
		"
3,"<h1 class=""charactername"">
cloud
</h1>","
		Forward Tilt
		","
		9
		","
		-16
		","
		9—10
		"
4,"<h1 class=""charactername"">
cloud
</h1>","
		Up Tilt
		","
		6
		","
		-18
		","
		6—9
		"
5,"<h1 class=""charactername"">
cloud
</h1>","
		Down Tilt
		","
		7
		","
		-26
		","
		7—8(9—17)
		"
6,"<h1 class=""charactername"">
cloud
</h1>","
		Dash Attack
		","
		9
		","
		-26
		","
		9—13(14—18)
		"
7,"<h1 class=""charactername"">
cloud
</h1>","
		Forward Smash
		","
		19/24/28
		","
		-29/-30
		","
		19/24/28
		"
8,"<h1 class=""charactername"">
cloud
</h1>","
		Up Smash
		","
		12
		","
		-24
		","
		12(13—14/15—16)
		"
9,"<h1 class=""charactername"">
cloud
</h1>","
		Down Smash
		","
		8/21
		","
		-38/-20
		","
		8—9/21—23
		"
10,"<h1 class=""charactername"">
cloud
</h1>","
		Neutral Air
		","
		5
		","
		-5
		","
		5—15
		"
11,"<h1 class=""charactername"">
cloud
</h1>","
		Forward Air
		","
		18
		","
		-6/-6/-7
		","
		18—19(20—25)
		"
12,"<h1 class=""charactername"">
cloud
</h1>","
		Back Air
		","
		11
		","
		-3
		","
		11—12
		"
13,"<h1 class=""charactername"">
cloud
</h1>","
		Up Air
		","
		8
		","
		-5/-5
		","
		8—9(10—23)
		"
14,"<h1 class=""charactername"">
cloud
</h1>","
		Down Air
		","
		11
		","
		-11/-12
		","
		11—13(14—39)
		"
15,"<h1 class=""charactername"">
cloud
</h1>","
		Neutral B (Blade Beam)
		","
		18(18)
		","
		-25(-33)
		","
		18—35(36—68)
		"
16,"<h1 class=""charactername"">
cloud
</h1>","
		Limit Blade Beam
		","
		16 (1/7/13/19/25/28)
		","
		-9
		","
		16—63 (1/7/13/19/25/28—29)
		"
17,"<h1 class=""charactername"">
cloud
</h1>","
		Side B, Hit 1 (Cross Slash, Hit 1)
		","
		10
		","
		-25
		","
		10—11
		"
18,"<h1 class=""charactername"">
cloud
</h1>","
		Cross Slash, Hit 2
		","
		2
		","
		-25
		","
		2—3
		"
19,"<h1 class=""charactername"">
cloud
</h1>","
		Cross Slash, Hit 3
		","
		2/11/25
		","
		-24
		","
		2—3/11—12/25—26
		"
20,"<h1 class=""charactername"">
cloud
</h1>","
		Limit Cross Slash
		","
		10/15/21/28/38
		","
		-12
		","
		10—11/15—16/21—22/28/38—39
		"
21,"<h1 class=""charactername"">
cloud
</h1>","
		Up B (Climhazzard)
		","
		7/10
		","
		**
		","
		7/10(11/12—15/**)
		"
22,"<h1 class=""charactername"">
cloud
</h1>","
		Climhazzard, Followup
		","
		12
		","
		**
		","
		12—**
		"
23,"<h1 class=""charactername"">
cloud
</h1>","
		Limit Climhazzard
		","
		7/10
		","
		-21
		","
		7—9/10(11—16)/1—3
		"
24,"<h1 class=""charactername"">
cloud
</h1>","
		Down B (Limit Charge)
		","
		--
		","
		--
		","
		**
		"
25,"<h1 class=""charactername"">
cloud
</h1>","
		Down B (Finishing Touch)
		","
		14 (ground) // 16 (air)
		","
		-70/-71
		","
		14(15—16)/24—28 // 16—17(19)/27—31
		"
26,"<h1 class=""charactername"">
cloud
</h1>","
		Grab
		","
		9
		","
		-70/-71
		","
		9—10
		"
27,"<h1 class=""charactername"">
cloud
</h1>","
		Dash Grab
		","
		12
		","
		-70/-71
		","
		12—13
		"
28,"<h1 class=""charactername"">
cloud
</h1>","
		Pivot Grab
		","
		13
		","
		-70/-71
		","
		13—14
		"
29,"<h1 class=""charactername"">
cloud
</h1>","
		Pummel
		","
		1
		","
		-70/-71
		","
		13—14
		"
30,"<h1 class=""charactername"">
cloud
</h1>","
		Forward Throw
		","
		7/9
		","
		-70/-71
		","
		13—14
		"
31,"<h1 class=""charactername"">
cloud
</h1>","
		Backward Throw
		","
		13/15
		","
		-70/-71
		","
		13—14
		"
32,"<h1 class=""charactername"">
cloud
</h1>","
		Up Throw
		","
		8/13/15
		","
		-70/-71
		","
		13—14
		"
33,"<h1 class=""charactername"">
cloud
</h1>","
		Down Throw
		","
		18
		","
		-70/-71
		","
		13—14
		"
34,"<h1 class=""charactername"">
cloud
</h1>","
		Spot Dodge
		","
		18
		","
		-70/-71
		","
		13—14
		"
