,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,4,25,-18,4—5
1,Jab 2,5,29,-21,5—6
2,Jab 3,3,31,-23,3
3,Rapid Jab,6/8/10...,--,--,6/8/10...
4,Rapid Jab Finisher,4,47,-40,4—5
5,Forward Tilt,10,39,-22/-19,10—14
6,Up Tilt,6/15,32,-23/-13,6—8/15—16
7,Down Tilt,6,25,-13,6—7
8,Dash Attack,7,38,-17,7—9
9,Forward Smash,10/21,54,-26,10/21—22
10,Up Smash,6/7/10/18,51,-27,6/7/10/18
11,Down Smash,5/18,40,-27/-28/-14/-15,5—6/18—20
12,Neutral Air,4/7/10/13/16/19/22/25,54,-12/-11,4—5/7—8/10—11/13—14/16—17/19—20/22—23/25
13,Forward Air,11/14/18,46,-10/-9,11—12/14—15/18—19
14,Back Air,10,40,-5/-4,10—12
15,Up Air,10/13/16/19/22,40,-12/-11,10—12/13—15/16—18/19—21/22—23
16,Down Air,10,36,-8,10/11—12
17,Neutral B (Silver Bow),16—76,See Notes,-21 to -15,16—55 (sideways) || 17—56 (up)
18,Side B (Electroshock Arm),18,79/49,-36,16—35(detector)
19,"Side B, Air (Electrodash Arm, Air)",21,104/51,-40,19—35(detector)
20,Up B (Power of Flight),--,--,--,--
21,Down B (Guardian Orbitars),7 (Start of Reflect),43—124,--,--
22,Grab,6,34,--,6—7
23,Dash Grab,9,42,--,9—10
24,Pivot Grab,10,37,--,10—11
25,Pummel,1,19,--,10—11
26,Forward Throw,12/14,27,--,10—11
27,Backward Throw,29,38,--,10—11
28,Up Throw,13/15,37,--,10—11
29,Down Throw,13/16,31,--,10—11
30,Spot Dodge,13/16,20/25,--,10—11
31,Forward Roll,13/16,29,--,10—11
32,Backward Roll,13/16,34,--,10—11
33,Neutral Air Dodge,13/16,52,--,10—11
34,"Air Dodge, Down",13/16,73,--,10—11
35,"Air Dodge, Diagonally Down",13/16,82,--,10—11
36,"Air Dodge, Left/Right",13/16,89,--,10—11
37,"Air Dodge, Diagonally Up",13/16,110,--,10—11
38,"Air Dodge, Up",13/16,119,--,10—11
39,Ledge Grab,13/16,119,--,10—11
40,Ledge Grab,13/16,119,--,10—11
41,Ledge Hang,13/16,119,--,10—11
