,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,5,24,-14,5—6
1,Jab 2,5,34,-24,5—6
2,Forward Tilt,7,34,-19/-18,7—9
3,Up Tilt,5,38,-23,5—11
4,Down Tilt,6,24,-12,6—7
5,Dash Attack,9,34,-14,9—12/13—24
6,Forward Smash,22,54,-18,22—23
7,Up Smash,14,49,-22,14—15
8,Down Smash,11,55,-33,11—12/13—14
9,Neutral Air,10,38,-6,10—13/14—26
10,Forward Air,18,55,-11/-12,18—20/21—23
11,Back Air,7,31,-6/-7,7—8/9—16
12,Up Air,6,37,-10,6—10
13,Down Air,14,54,-8,14—16
14,Neutral B (Giant Punch),19(+7),62,-33 to -21,26—27 (19—20 after starting charge)
15,"Giant Punch, Full Charge",19,47,-4,19—20
16,Side B (Headbutt),20,62,-32,20—21
17,Up B (Spinning Kong),19/25/32/40/49/55/62,104,-37,¯\_(ツ)_/¯
18,"Spinning Kong, Air",4/12...,--,**,¯\_(ツ)_/¯
19,Down B (Hand Slap),12/23,46,-15,12—13/23—24...
20,"Hand Slap, Air",19/28,49,-4,19—21/28—30
21,Grab,8,38,-4,8—10
22,Dash Grab,11,46,-4,11—13
23,Pivot Grab,12,41,-4,12—14
24,Pummel,2,21,-4,12—14
25,Cargo Forward Throw,15,45,-4,12—14
26,Cargo Backward Throw,16,42,-4,12—14
27,Cargo Up Throw,15,29,-4,12—14
28,Cargo Down Throw,17,44,-4,12—14
29,Backward Throw,15,39,-4,12—14
30,Up Throw,14,43,-4,12—14
31,Down Throw,19,54,-4,12—14
32,Spot Dodge,19,21/26,-4,12—14
33,Forward Roll,19,30,-4,12—14
34,Backward Roll,19,35,-4,12—14
35,Neutral Air Dodge,19,48,-4,12—14
36,"Air Dodge, Down",19,66,-4,12—14
37,"Air Dodge, Diagonally Down",19,73,-4,12—14
38,"Air Dodge, Left/Right",19,82,-4,12—14
39,"Air Dodge, Diagonally Up",19,88,-4,12—14
40,"Air Dodge, Up",19,109,-4,12—14
41,Ledge Grab,19,109,-4,12—14
42,Ledge Grab,19,109,-4,12—14
43,Ledge Hang,19,109,-4,12—14
