,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Falco
</h1>","
		Jab 1
		","
		2
		","
		-17
		","
		2
		"
1,"<h1 class=""charactername"">
Falco
</h1>","
		Jab 2
		","
		3
		","
		-19
		","
		3—4
		"
2,"<h1 class=""charactername"">
Falco
</h1>","
		Rapid Jab
		","
		5/7/9/...
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
Falco
</h1>","
		Rapid Jab Finisher
		","
		5
		","
		-31
		","
		5—6
		"
4,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Tilt
		","
		6
		","
		-12
		","
		6—8
		"
5,"<h1 class=""charactername"">
Falco
</h1>","
		Up Tilt
		","
		5/12
		","
		-12
		","
		5(6—9)/12(13—18)
		"
6,"<h1 class=""charactername"">
Falco
</h1>","
		Down Tilt
		","
		8
		","
		-9/-10/-11
		","
		8—10
		"
7,"<h1 class=""charactername"">
Falco
</h1>","
		Dash Attack
		","
		8
		","
		-22
		","
		8—11
		"
8,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Smash
		","
		17
		","
		-20
		","
		17—19(20)
		"
9,"<h1 class=""charactername"">
Falco
</h1>","
		Up Smash
		","
		7/13
		","
		-27
		","
		7(8—12)/13—20
		"
10,"<h1 class=""charactername"">
Falco
</h1>","
		Down Smash
		","
		8
		","
		-28
		","
		8—10
		"
11,"<h1 class=""charactername"">
Falco
</h1>","
		Neutral Air
		","
		3/6/10/17
		","
		-7/-6
		","
		3—5/6—9/10—13/17—18
		"
12,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Air
		","
		7...
		","
		-10
		","
		7—25(rehit: 4)/26—27
		"
13,"<h1 class=""charactername"">
Falco
</h1>","
		Back Air
		","
		9
		","
		-8/-10
		","
		9—10(11—16)
		"
14,"<h1 class=""charactername"">
Falco
</h1>","
		Up Air
		","
		7
		","
		-5
		","
		7—11
		"
15,"<h1 class=""charactername"">
Falco
</h1>","
		Down Air
		","
		10
		","
		-6/-7
		","
		10—14/15—24
		"
16,"<h1 class=""charactername"">
Falco
</h1>","
		Neutral B (Blaster)
		","
		8/7
		","
		-24/-22
		","
		8—34/7—33
		"
17,"<h1 class=""charactername"">
Falco
</h1>","
		Side B (Falco Phantasm)
		","
		13/18
		","
		-19/-14
		","
		(13—16/16—19)/(18—24)
		"
18,"<h1 class=""charactername"">
Falco
</h1>","
		Up B (Fire Bird)
		","
		20/22/24/26/28/30/32/43-46/47/49/51/53/55/57/59/61
		","
		-21
		","
		20/22/24/26/28/30/32/43-46/47/49/51/53/55/57/59/61
		"
19,"<h1 class=""charactername"">
Falco
</h1>","
		Down B (Reflector)
		","
		5
		","
		-33
		","
		5—14
		"
20,"<h1 class=""charactername"">
Falco
</h1>","
		Grab
		","
		6
		","
		-33
		","
		6—7
		"
21,"<h1 class=""charactername"">
Falco
</h1>","
		Dash Grab
		","
		9
		","
		-33
		","
		9—10
		"
22,"<h1 class=""charactername"">
Falco
</h1>","
		Pivot Grab
		","
		10
		","
		-33
		","
		10—11
		"
23,"<h1 class=""charactername"">
Falco
</h1>","
		Pummel
		","
		1
		","
		-33
		","
		10—11
		"
24,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Throw
		","
		10/12
		","
		-33
		","
		10—11
		"
25,"<h1 class=""charactername"">
Falco
</h1>","
		Backward Throw
		","
		9
		","
		-33
		","
		10—11
		"
26,"<h1 class=""charactername"">
Falco
</h1>","
		Up Throw
		","
		7
		","
		-33
		","
		10—11
		"
27,"<h1 class=""charactername"">
Falco
</h1>","
		Down Throw
		","
		26/33
		","
		-33
		","
		10—11
		"
28,"<h1 class=""charactername"">
Falco
</h1>","
		Spot Dodge
		","
		26/33
		","
		-33
		","
		10—11
		"
29,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Roll
		","
		26/33
		","
		-33
		","
		10—11
		"
30,"<h1 class=""charactername"">
Falco
</h1>","
		Backward Roll
		","
		26/33
		","
		-33
		","
		10—11
		"
31,"<h1 class=""charactername"">
Falco
</h1>","
		Neutral Air Dodge
		","
		26/33
		","
		-33
		","
		10—11
		"
32,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Down
		","
		26/33
		","
		-33
		","
		10—11
		"
33,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Diagonally Down
		","
		26/33
		","
		-33
		","
		10—11
		"
34,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Left/Right
		","
		26/33
		","
		-33
		","
		10—11
		"
35,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Diagonally Up
		","
		26/33
		","
		-33
		","
		10—11
		"
36,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Up
		","
		26/33
		","
		-33
		","
		10—11
		"
37,"<h1 class=""charactername"">
Falco
</h1>","
			Ledge Grab
		","
		26/33
		","
		-33
		","
		10—11
		"
38,"<h1 class=""charactername"">
Falco
</h1>","
			Ledge Grab
		","
		26/33
		","
		-33
		","
		10—11
		"
39,"<h1 class=""charactername"">
Falco
</h1>","
				Ledge Hang
			","
		26/33
		","
		-33
		","
		10—11
		"
