,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
greninja
</h1>","
		Jab 1
		","
		3
		","
		-15
		","
		3
		"
1,"<h1 class=""charactername"">
greninja
</h1>","
		Jab 2
		","
		3
		","
		-15
		","
		3—4
		"
2,"<h1 class=""charactername"">
greninja
</h1>","
		Jab 3
		","
		5
		","
		-26
		","
		5—6
		"
3,"<h1 class=""charactername"">
greninja
</h1>","
		Rapid Jab
		","
		5/8/11/14...
		","
		--
		","
		**
		"
4,"<h1 class=""charactername"">
greninja
</h1>","
		Rapid Jab Finisher
		","
		4
		","
		-39
		","
		4—5
		"
5,"<h1 class=""charactername"">
greninja
</h1>","
		Forward Tilt
		","
		10
		","
		-15/-14
		","
		10—12
		"
6,"<h1 class=""charactername"">
greninja
</h1>","
		Up Tilt
		","
		9
		","
		-18
		","
		9—12
		"
7,"<h1 class=""charactername"">
greninja
</h1>","
		Down Tilt
		","
		5
		","
		-12
		","
		5—6
		"
8,"<h1 class=""charactername"">
greninja
</h1>","
		Dash Attack
		","
		7
		","
		-13
		","
		7—11
		"
9,"<h1 class=""charactername"">
greninja
</h1>","
		Forward Smash
		","
		13
		","
		-26
		","
		13—15
		"
10,"<h1 class=""charactername"">
greninja
</h1>","
		Up Smash
		","
		12/18
		","
		-23
		","
		12—17/18(19—20/21)
		"
11,"<h1 class=""charactername"">
greninja
</h1>","
		Down Smash
		","
		11
		","
		-29
		","
		11—12(13)
		"
12,"<h1 class=""charactername"">
greninja
</h1>","
		Down Taunt
		","
		30
		","
		**
		","
		30—73 (rehit: 3)
		"
13,"<h1 class=""charactername"">
greninja
</h1>","
		Neutral Air
		","
		12
		","
		-3/-4
		","
		12—13(14—19)
		"
14,"<h1 class=""charactername"">
greninja
</h1>","
		Forward Air
		","
		16
		","
		-6
		","
		16—17
		"
15,"<h1 class=""charactername"">
greninja
</h1>","
		Back Air
		","
		5/7/11
		","
		-8/-7
		","
		5/7/11—14
		"
16,"<h1 class=""charactername"">
greninja
</h1>","
		Up Air
		","
		7/10/13/16/19/22
		","
		-12/-12
		","
		7—8/10—11/13—14/16—17/19—20/22
		"
17,"<h1 class=""charactername"">
greninja
</h1>","
		Down Air
		","
		17
		","
		-16
		","
		17—19(20—45)
		"
18,"<h1 class=""charactername"">
greninja
</h1>","
		Neutral B (Water Shuriken)
		","
		20—60
		","
		-18 to -13
		","
		20—35 — 60—95
		"
19,"<h1 class=""charactername"">
greninja
</h1>","
		Side B (Shadow Sneak)
		","
		24(+5)
		","
		-29/-28
		","
		24—25
		"
20,"<h1 class=""charactername"">
greninja
</h1>","
		Up B (Hydro Pump)
		","
		19
		","
		--
		","
		**
		"
21,"<h1 class=""charactername"">
greninja
</h1>","
		Down B (Substitute)
		","
		8 (Start of Counter)
		","
		--
		","
		8—34 (counter)
		"
22,"<h1 class=""charactername"">
greninja
</h1>","
		Down B, Attack (Substitute, Attack)
		","
		19
		","
		-33/-32
		","
		19
		"
23,"<h1 class=""charactername"">
greninja
</h1>","
		Grab
		","
		10
		","
		-33/-32
		","
		10—11
		"
24,"<h1 class=""charactername"">
greninja
</h1>","
		Dash Grab
		","
		13
		","
		-33/-32
		","
		13—14
		"
25,"<h1 class=""charactername"">
greninja
</h1>","
		Pivot Grab
		","
		14
		","
		-33/-32
		","
		14—15
		"
26,"<h1 class=""charactername"">
greninja
</h1>","
		Pummel
		","
		2
		","
		-33/-32
		","
		14—15
		"
27,"<h1 class=""charactername"">
greninja
</h1>","
		Forward Throw
		","
		15/16
		","
		-33/-32
		","
		14—15
		"
28,"<h1 class=""charactername"">
greninja
</h1>","
		Backward Throw
		","
		18
		","
		-33/-32
		","
		14—15
		"
29,"<h1 class=""charactername"">
greninja
</h1>","
		Up Throw
		","
		16
		","
		-33/-32
		","
		14—15
		"
30,"<h1 class=""charactername"">
greninja
</h1>","
		Down Throw
		","
		16
		","
		-33/-32
		","
		14—15
		"
31,"<h1 class=""charactername"">
greninja
</h1>","
		Spot Dodge
		","
		16
		","
		-33/-32
		","
		14—15
		"
32,"<h1 class=""charactername"">
greninja
</h1>","
		Forward Roll
		","
		16
		","
		-33/-32
		","
		14—15
		"
33,"<h1 class=""charactername"">
greninja
</h1>","
		Backward Roll
		","
		16
		","
		-33/-32
		","
		14—15
		"
34,"<h1 class=""charactername"">
greninja
</h1>","
		Neutral Air Dodge
		","
		16
		","
		-33/-32
		","
		14—15
		"
35,"<h1 class=""charactername"">
greninja
</h1>","
		Air Dodge, Down
		","
		16
		","
		-33/-32
		","
		14—15
		"
36,"<h1 class=""charactername"">
greninja
</h1>","
		Air Dodge, Diagonally Down
		","
		16
		","
		-33/-32
		","
		14—15
		"
37,"<h1 class=""charactername"">
greninja
</h1>","
		Air Dodge, Left/Right
		","
		16
		","
		-33/-32
		","
		14—15
		"
38,"<h1 class=""charactername"">
greninja
</h1>","
		Air Dodge, Diagonally Up
		","
		16
		","
		-33/-32
		","
		14—15
		"
39,"<h1 class=""charactername"">
greninja
</h1>","
		Air Dodge, Up
		","
		16
		","
		-33/-32
		","
		14—15
		"
40,"<h1 class=""charactername"">
greninja
</h1>","
			Ledge Grab
		","
		16
		","
		-33/-32
		","
		14—15
		"
41,"<h1 class=""charactername"">
greninja
</h1>","
			Ledge Grab
		","
		16
		","
		-33/-32
		","
		14—15
		"
42,"<h1 class=""charactername"">
greninja
</h1>","
				Ledge Hang
			","
		16
		","
		-33/-32
		","
		14—15
		"
