,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Ike
</h1>","
		Jab 1
		","
		4
		","
		-15
		","
		4—5
		"
1,"<h1 class=""charactername"">
Ike
</h1>","
		Jab 2
		","
		3
		","
		-20
		","
		3—4
		"
2,"<h1 class=""charactername"">
Ike
</h1>","
		Jab 3
		","
		5
		","
		-29
		","
		5—8
		"
3,"<h1 class=""charactername"">
Ike
</h1>","
		Forward Tilt
		","
		12
		","
		-17
		","
		12—13
		"
4,"<h1 class=""charactername"">
Ike
</h1>","
		Up Tilt
		","
		11
		","
		-17
		","
		11—16/17—21
		"
5,"<h1 class=""charactername"">
Ike
</h1>","
		Down Tilt
		","
		7
		","
		-13
		","
		7—8
		"
6,"<h1 class=""charactername"">
Ike
</h1>","
		Dash Attack
		","
		15
		","
		-17
		","
		15—16/17—19
		"
7,"<h1 class=""charactername"">
Ike
</h1>","
		Forward Smash
		","
		31
		","
		-39/-36
		","
		31—32/33—35
		"
8,"<h1 class=""charactername"">
Ike
</h1>","
		Up Smash
		","
		25
		","
		-34
		","
		25—29/30—31
		"
9,"<h1 class=""charactername"">
Ike
</h1>","
		Down Smash
		","
		13/32
		","
		-46/-25
		","
		13—15/32—33/34—36
		"
10,"<h1 class=""charactername"">
Ike
</h1>","
		Neutral Air
		","
		10
		","
		-5
		","
		10—14/15—22
		"
11,"<h1 class=""charactername"">
Ike
</h1>","
		Forward Air
		","
		11
		","
		-9
		","
		11—15
		"
12,"<h1 class=""charactername"">
Ike
</h1>","
		Back Air
		","
		7
		","
		-6
		","
		7—9
		"
13,"<h1 class=""charactername"">
Ike
</h1>","
		Up Air
		","
		13
		","
		-5
		","
		13—18
		"
14,"<h1 class=""charactername"">
Ike
</h1>","
		Down Air
		","
		16
		","
		-9
		","
		16—17
		"
15,"<h1 class=""charactername"">
Ike
</h1>","
		Neutral B (Eruption)
		","
		30-239
		","
		-38 to Shieldbreak
		","
		**
		"
16,"<h1 class=""charactername"">
Ike
</h1>","
		Side B (Quickdraw)
		","
		16
		","
		-28 to -22
		","
		**
		"
17,"<h1 class=""charactername"">
Ike
</h1>","
		Up B (Aether)
		","
		15/44/51/61
		","
		-29
		","
		**
		"
18,"<h1 class=""charactername"">
Ike
</h1>","
		Down B (Counter)
		","
		9 (Start of Counter)
		","
		--
		","
		--
		"
19,"<h1 class=""charactername"">
Ike
</h1>","
		Counter, Attack
		","
		4
		","
		--
		","
		4—5
		"
20,"<h1 class=""charactername"">
Ike
</h1>","
		Grab
		","
		7
		","
		--
		","
		7—8
		"
21,"<h1 class=""charactername"">
Ike
</h1>","
		Dash Grab
		","
		10
		","
		--
		","
		10—11
		"
22,"<h1 class=""charactername"">
Ike
</h1>","
		Pivot Grab
		","
		11
		","
		--
		","
		11—12
		"
23,"<h1 class=""charactername"">
Ike
</h1>","
		Pummel
		","
		1
		","
		--
		","
		11—12
		"
24,"<h1 class=""charactername"">
Ike
</h1>","
		Forward Throw
		","
		5/8
		","
		--
		","
		11—12
		"
25,"<h1 class=""charactername"">
Ike
</h1>","
		Backward Throw
		","
		20/22
		","
		--
		","
		11—12
		"
26,"<h1 class=""charactername"">
Ike
</h1>","
		Up Throw
		","
		18/20
		","
		--
		","
		11—12
		"
27,"<h1 class=""charactername"">
Ike
</h1>","
		Down Throw
		","
		35/40
		","
		--
		","
		11—12
		"
28,"<h1 class=""charactername"">
Ike
</h1>","
		Spot Dodge
		","
		35/40
		","
		--
		","
		11—12
		"
29,"<h1 class=""charactername"">
Ike
</h1>","
		Forward Roll
		","
		35/40
		","
		--
		","
		11—12
		"
30,"<h1 class=""charactername"">
Ike
</h1>","
		Backward Roll
		","
		35/40
		","
		--
		","
		11—12
		"
31,"<h1 class=""charactername"">
Ike
</h1>","
		Neutral Air Dodge
		","
		35/40
		","
		--
		","
		11—12
		"
32,"<h1 class=""charactername"">
Ike
</h1>","
		Air Dodge, Down
		","
		35/40
		","
		--
		","
		11—12
		"
33,"<h1 class=""charactername"">
Ike
</h1>","
		Air Dodge, Diagonally Down
		","
		35/40
		","
		--
		","
		11—12
		"
34,"<h1 class=""charactername"">
Ike
</h1>","
		Air Dodge, Left/Right
		","
		35/40
		","
		--
		","
		11—12
		"
35,"<h1 class=""charactername"">
Ike
</h1>","
		Air Dodge, Diagonally Up
		","
		35/40
		","
		--
		","
		11—12
		"
36,"<h1 class=""charactername"">
Ike
</h1>","
		Air Dodge, Up
		","
		35/40
		","
		--
		","
		11—12
		"
37,"<h1 class=""charactername"">
Ike
</h1>","
					Ledge Grab
				","
		35/40
		","
		--
		","
		11—12
		"
38,"<h1 class=""charactername"">
Ike
</h1>","
					Ledge Grab
				","
		35/40
		","
		--
		","
		11—12
		"
39,"<h1 class=""charactername"">
Ike
</h1>","
					Ledge Hang
				","
		35/40
		","
		--
		","
		11—12
		"
