,Move name,Start up,Total frame,Advantage,Active frames
0,Ledge Hang,20/21,93,--,11—12
1,Jab 1,3,19,-13,3—4
2,Jab 2,2,21,-16,2—3
3,Jab 3,4,29,-21,4—5
4,Rapid Jab,4/7/10...,--,**,4/7/10...
5,Rapid Jab Finisher,6,48,-38,6
6,Forward Tilt,8,34,-17,8—10
7,Up Tilt,7,29,-16,7—12
8,Down Tilt,5/12,31,-13,5—8/12—15
9,Dash Attack,8,35,-16,8—9/10—13
10,Forward Smash,16,51,-25/-24,16—17
11,Up Smash,9/18,57,-44/-29/-32,9—10/18—20
12,Down Smash,11/20,49,-29/-21,(11—12/13—15)/(20—21/22—24)
13,Neutral Air,6,31,-2,6—9
14,Forward Air,10,41,-8/-9,10—11/12—21
15,Back Air,7,36,-2/-3,7—11
16,Up Air,12/17,43,-3/-3,12—15/17—20
17,Down Air,16,61,-5/-6,16—17
18,Neutral B (Splattershot),12/16/20/24,36,-6,16/16/20/24
19,Side B (Splat Roller),16,17/35,-15 to -12,16...
20,Up B (Super Jump),12,--,**/-29/-30,12/15—21/1—10
21,Down B (Splat Bomb),20—40,47—65,**,**
22,Grab,8,34,**,8—9
23,Dash Grab,9,41,**,9—10
24,Pivot Grab,10,37,**,10—11
25,Pummel,1,18,**,10—11
26,Forward Throw,22/23,39,**,10—11
27,Backward Throw,17,36,**,10—11
28,Up Throw,21/22,36,**,10—11
29,Down Throw,20,40,**,10—11
30,Spot Dodge,20,20/25,**,10—11
31,Forward Roll,20,29,**,10—11
32,Backward Roll,20,34,**,10—11
33,Neutral Air Dodge,20,50,**,10—11
34,"Air Dodge, Down",20,70,**,10—11
35,"Air Dodge, Diagonally Down",20,76,**,10—11
36,"Air Dodge, Left/Right",20,84,**,10—11
37,"Air Dodge, Diagonally Up",20,100,**,10—11
38,"Air Dodge, Up",20,112,**,10—11
39,Ledge Grab,20,112,**,10—11
40,Ledge Grab,20,112,**,10—11
41,Ledge Hang,20,112,**,10—11
