,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Jab 1
		","
		5
		","
		-7
		","
		5—6
		"
1,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Jab 2
		","
		5
		","
		-10
		","
		5—6
		"
2,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Tilt
		","
		7
		","
		-7
		","
		7—10
		"
3,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up Tilt
		","
		9
		","
		-6
		","
		9—10(11—13)
		"
4,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down Tilt
		","
		10
		","
		-10
		","
		10—12
		"
5,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Dash Attack
		","
		5
		","
		-23
		","
		5—7(8—20)
		"
6,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Smash
		","
		16
		","
		-22
		","
		16—19(20—24)
		"
7,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up Smash
		","
		16
		","
		-19
		","
		16—19
		"
8,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down Smash
		","
		14
		","
		-26
		","
		14—16
		"
9,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Neutral Air
		","
		6
		","
		-5/-6
		","
		6—7(8—30)
		"
10,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Air
		","
		8
		","
		-5/-6
		","
		8—9(10—20)
		"
11,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Back Air
		","
		10
		","
		-6
		","
		10—11
		"
12,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up Air
		","
		9
		","
		-5
		","
		9—21
		"
13,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down Air
		","
		7/10/13/16/19/22/25/28/31
		","
		-13
		","
		7—8/10—11/13—14/16—17/19—20/22—23/25—26/28—29/31—32
		"
14,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Neutral B (Rollout)
		","
		~40/~60
		","
		**
		","
		**
		"
15,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Side B (Pound)
		","
		13
		","
		-11
		","
		13—28
		"
16,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up B (Sing)
		","
		27/61/100
		","
		--
		","
		27—36/61—70/100—115
		"
17,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down B (Rest)
		","
		2
		","
		-166
		","
		2—4
		"
18,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Grab
		","
		6
		","
		-166
		","
		6—7
		"
19,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Dash Grab
		","
		9
		","
		-166
		","
		9—10
		"
20,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Pivot Grab
		","
		10
		","
		-166
		","
		10—11
		"
21,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Pummel
		","
		1
		","
		-166
		","
		10—11
		"
22,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Throw
		","
		10/12
		","
		-166
		","
		10—11
		"
23,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Backward Throw
		","
		26
		","
		-166
		","
		10—11
		"
24,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up Throw
		","
		9
		","
		-166
		","
		10—11
		"
25,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down Throw
		","
		60/62
		","
		-166
		","
		10—11
		"
26,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Spot Dodge
		","
		60/62
		","
		-166
		","
		10—11
		"
27,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Roll
		","
		60/62
		","
		-166
		","
		10—11
		"
28,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Backward Roll
		","
		60/62
		","
		-166
		","
		10—11
		"
29,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Neutral Air Dodge
		","
		60/62
		","
		-166
		","
		10—11
		"
30,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Air Dodge, Down
		","
		60/62
		","
		-166
		","
		10—11
		"
31,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Air Dodge, Diagonally Down
		","
		60/62
		","
		-166
		","
		10—11
		"
32,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Air Dodge, Left/Right
		","
		60/62
		","
		-166
		","
		10—11
		"
33,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Air Dodge, Diagonally Up
		","
		60/62
		","
		-166
		","
		10—11
		"
34,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Air Dodge, Up
		","
		60/62
		","
		-166
		","
		10—11
		"
35,"<h1 class=""charactername"">
jigglypuff
</h1>","
			Ledge Grab
		","
		60/62
		","
		-166
		","
		10—11
		"
36,"<h1 class=""charactername"">
jigglypuff
</h1>","
			Ledge Grab
		","
		60/62
		","
		-166
		","
		10—11
		"
37,"<h1 class=""charactername"">
jigglypuff
</h1>","
				Ledge Hang
			","
		60/62
		","
		-166
		","
		10—11
		"
