,Move name,Start up,Total frame,Advantage,Active frames
0,Ledge Hang,18/19,102,-8/-9,10—11
1,Jab 1 (Light),2,15,-10,2—3
2,Jab 2,3,27,-21,3—4
3,Jab 3,8,35,-21,8—10
4,"Jab (Heavy, Close)",7,37,**,7(8—11)
5,"Jab (Heavy, Far)",9/16,32,-10,9—12/16—17
6,"Forward Tilt (Light, Close)",3,29,-20,3—4
7,"Forward Tilt (Light, Far)",8,23,-8,8—11
8,Forward Tilt (Heavy),10,34,-18/-14,10—13
9,Up Tilt (Light),3,14,-8,3—6
10,Up Tilt (Heavy),7,37,-19,7(8—11)
11,Down Tilt (Light),2,14,-9,2—3
12,Down Tilt (Heavy),6,27,-14,6—7
13,Dash Attack,7,40,-22,7—9(10—15)
14,Forward Smash,13,45,-24/-21,13—15
15,Up Smash,9,44,-24,9(10—12)
16,Down Smash,5,41,-25,5—6
17,Neutral Air,6,27,-2/-2,6—8(9—17)
18,Forward Air,8,36,"-7/-6, -7/-6",8—9(10—14)
19,Back Air,8,41,-4/-5,8—9
20,Up Air,5,35,-8,5—9
21,Down Air,8,45,-10,8—12
22,Neutral B (Hadouken),13,57,-35/-34,13—19(20—75) / 13—18(19—67) / 13—17(18—60)
23,Side B (Tatsumaki Senpukyaku),8/13—38,42—72,-25 to -30,8—9(13—14/18—19/23—24/28—29/33—34/38—39)
24,"Side B, Air (Tatsumaki Senpukyaku, Air)",8/13/18/23/28/33/38,77,-36,8—9(13—14/18—19/23—24/28—29/33—34/38—39)
25,Up B (Shoryuken),6,--,**,6—8(9—19)
26,True Shoryuken,6,--,**,6—8(9—19)
27,Up B (Flame Shoryuken),5/6/9,--,**,5/6—8/9—19
28,True Flame Shoryuken,5/6/9,--,**,5/6—8/9—19
29,Down B (Focus Attack),"12 (+21), 12(+31), 12(+59)",55,"-32, -33, unblockable",32—33/42—43/70—71
30,"Focus Attack, Dash Cancel",--,19/19,-8/-9,**
31,Nata Otoshi Geri (Input Command),12/15(12/20),28(41),-7/-9,12/15—6
32,Oosoto Mawashi Geri (Input Command),9(9/17),32(48),-13/-19,9—10(9—10/17—19)
33,Grab,6,34,-13/-19,6—7
34,Dash Grab,9,42,-13/-19,9—10
35,Pivot Grab,10,37,-13/-19,10—11
36,Pummel,1,16,-13/-19,10—11
37,Forward Throw,16,41,-13/-19,10—11
38,Backward Throw,41,69,-13/-19,10—11
39,Up Throw,18/27,46,-13/-19,10—11
40,Down Throw,18/19,44,-13/-19,10—11
41,Spot Dodge,18/19,21/26,-13/-19,10—11
42,Forward Roll,18/19,30,-13/-19,10—11
43,Backward Roll,18/19,35,-13/-19,10—11
44,Neutral Air Dodge,18/19,49,-13/-19,10—11
45,"Air Dodge, Down",18/19,67,-13/-19,10—11
46,"Air Dodge, Diagonally Down",18/19,73,-13/-19,10—11
47,"Air Dodge, Left/Right",18/19,80,-13/-19,10—11
48,"Air Dodge, Diagonally Up",18/19,89,-13/-19,10—11
49,"Air Dodge, Up",18/19,102,-13/-19,10—11
50,Ledge Grab,18/19,102,-13/-19,10—11
51,Ledge Grab,18/19,102,-13/-19,10—11
52,Ledge Hang,18/19,102,-13/-19,10—11
