,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
king dedede
</h1>","
		Jab 1
		","
		10
		","
		-18
		","
		10—11
		"
1,"<h1 class=""charactername"">
king dedede
</h1>","
		Jab 2
		","
		11
		","
		-13
		","
		23—24
		"
2,"<h1 class=""charactername"">
king dedede
</h1>","
		Rapid Jab
		","
		5/8/11...
		","
		--
		","
		34—**
		"
3,"<h1 class=""charactername"">
king dedede
</h1>","
		Rapid Jab Finisher 
		","
		4
		","
		-41
		","
		**
		"
4,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Tilt
		","
		12/16/20/23
		","
		-21
		","
		12—21/23
		"
5,"<h1 class=""charactername"">
king dedede
</h1>","
		Up Tilt
		","
		7
		","
		-21/-23
		","
		7—13
		"
6,"<h1 class=""charactername"">
king dedede
</h1>","
		Down Tilt
		","
		6
		","
		-21
		","
		6—7(8—11)
		"
7,"<h1 class=""charactername"">
king dedede
</h1>","
		Dash Attack
		","
		26
		","
		-26
		","
		26—27(28—41)
		"
8,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Smash
		","
		40
		","
		?/-/-18/-25
		","
		40
		"
9,"<h1 class=""charactername"">
king dedede
</h1>","
		Up Smash
		","
		17
		","
		-39
		","
		17—24
		"
10,"<h1 class=""charactername"">
king dedede
</h1>","
		Down Smash
		","
		12/20
		","
		-31/-23
		","
		14—22
		"
11,"<h1 class=""charactername"">
king dedede
</h1>","
		Neutral Air
		","
		7
		","
		-4/-6
		","
		7—8(9—29)
		"
12,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Air
		","
		13
		","
		-13
		","
		13—15
		"
13,"<h1 class=""charactername"">
king dedede
</h1>","
		Back Air
		","
		17
		","
		-8
		","
		17—19
		"
14,"<h1 class=""charactername"">
king dedede
</h1>","
		Up Air
		","
		10/12/14/16/18/20/22/24
		","
		-10
		","
		10/12/14/16/18/20/22/24—25
		"
15,"<h1 class=""charactername"">
king dedede
</h1>","
		Down Air
		","
		22
		","
		-13/-14
		","
		22—23
		"
16,"<h1 class=""charactername"">
king dedede
</h1>","
		Neutral B (Inhale)
		","
		14
		","
		--
		","
		17—**
		"
17,"<h1 class=""charactername"">
king dedede
</h1>","
		Inhale, Spit
		","
		6
		","
		--
		","
		**
		"
18,"<h1 class=""charactername"">
king dedede
</h1>","
		Side B (Gordo Throw)
		","
		29
		","
		-21/-11/-17
		","
		29(5—146)
		"
19,"<h1 class=""charactername"">
king dedede
</h1>","
		Up B (Super Dedede Jump)
		","
		69
		","
		-46
		","
		69/4—5/6—20
		"
20,"<h1 class=""charactername"">
king dedede
</h1>","
		Down B (Jet Hammer, Partial Charge)
		","
		10(+17)
		","
		-39 to -24
		","
		27—29
		"
21,"<h1 class=""charactername"">
king dedede
</h1>","
		Down B, Full Charge (Jet Hammer, Full Charge)
		","
		10
		","
		-26
		","
		10—11
		"
22,"<h1 class=""charactername"">
king dedede
</h1>","
		Grab
		","
		8
		","
		-26
		","
		8—10
		"
23,"<h1 class=""charactername"">
king dedede
</h1>","
		Dash Grab
		","
		11
		","
		-26
		","
		11—13
		"
24,"<h1 class=""charactername"">
king dedede
</h1>","
		Pivot Grab
		","
		12
		","
		-26
		","
		12—14
		"
25,"<h1 class=""charactername"">
king dedede
</h1>","
		Pummel
		","
		2
		","
		-26
		","
		12—14
		"
26,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Throw
		","
		14
		","
		-26
		","
		12—14
		"
27,"<h1 class=""charactername"">
king dedede
</h1>","
		Backward Throw
		","
		19
		","
		-26
		","
		12—14
		"
28,"<h1 class=""charactername"">
king dedede
</h1>","
		Up Throw
		","
		19
		","
		-26
		","
		12—14
		"
29,"<h1 class=""charactername"">
king dedede
</h1>","
		Down Throw
		","
		26
		","
		-26
		","
		12—14
		"
30,"<h1 class=""charactername"">
king dedede
</h1>","
		Spot Dodge
		","
		26
		","
		-26
		","
		12—14
		"
31,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Roll
		","
		26
		","
		-26
		","
		12—14
		"
32,"<h1 class=""charactername"">
king dedede
</h1>","
		Backward Roll
		","
		26
		","
		-26
		","
		12—14
		"
33,"<h1 class=""charactername"">
king dedede
</h1>","
		Neutral Air Dodge
		","
		26
		","
		-26
		","
		12—14
		"
34,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Down
		","
		26
		","
		-26
		","
		12—14
		"
35,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Diagonally Down
		","
		26
		","
		-26
		","
		12—14
		"
36,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Left/Right
		","
		26
		","
		-26
		","
		12—14
		"
37,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Diagonally Up
		","
		26
		","
		-26
		","
		12—14
		"
38,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Up
		","
		26
		","
		-26
		","
		12—14
		"
39,"<h1 class=""charactername"">
king dedede
</h1>","
			Ledge Grab
		","
		26
		","
		-26
		","
		12—14
		"
40,"<h1 class=""charactername"">
king dedede
</h1>","
			Ledge Grab
		","
		26
		","
		-26
		","
		12—14
		"
41,"<h1 class=""charactername"">
king dedede
</h1>","
				Ledge Hang
			","
		26
		","
		-26
		","
		12—14
		"
