,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,1,16,-12,1
1,Jab 2,1,16,-12,1
2,Jab 3,4,29,-19,4—5
3,Rapid Jab,4/6/8...,--,--,**
4,Rapid Jab Finisher,5,34,-25,5
5,Forward Tilt,4/12,37,-17,4—5/12—13
6,Up Tilt,4,29,-18,4—10
7,Down Tilt,3,25,-14,3—4
8,Dash Attack,7,33,-16,7—9
9,Forward Smash,14/14/15,43/43/43,-16/-16/-13,14—15/14—15/15
10,Up Smash,10,47,-23,10(11—13)
11,Down Smash,10/17,42,-23/-16,10—11/17—18
12,Neutral Air,2,15,-8,2
13,Forward Air,10,36,-10,10—12
14,Back Air,11,37,-13,11—12
15,Up Air,5,41,-10,5—8
16,Down Air,7,27,-15/-15,7—10
17,"Neutral B, Partial Charge (Straight Lunge, Partial Charge)",4(+32),49,-34 to -19,**
18,"Neutral B, Full Charge (Straight Lunge, Full Charge)",123,231,-82,**
19,K.O. Punch,9,76/75,Unblockable/-54,9—11
20,Side B (Jolt Haymaker),8/25,60/77,-39 to -36,8—14/25—31 (windbox: 7—17)
21,"Side B, Air (Jolt Haymaker, Air)",8/25,53/70,-32 to -31,8—14/25—31
22,Up B (Rising Uppercut),3...,--,**,3/6—21(rehit: 4)/26
23,Down B (Slip Counter),5 (Start of Counter),56,--,5—27 (counter)
24,"Slip Counter, Counterattack",16,47,--,16—21
25,Grab,9,38,--,9—10
26,Dash Grab,13,46,--,13—14
27,Pivot Grab,14,41,--,14—15
28,Pummel,1,15,--,14—15
29,Forward Throw,15/17,44,--,14—15
30,Backward Throw,17/19,47,--,14—15
31,Up Throw,10/12,40,--,14—15
32,Down Throw,14/16,44,--,14—15
33,Spot Dodge,14/16,18/23,--,14—15
34,Forward Roll,14/16,26,--,14—15
35,Backward Roll,14/16,32,--,14—15
36,Neutral Air Dodge,14/16,49,--,14—15
37,"Air Dodge, Down",14/16,62,--,14—15
38,"Air Dodge, Diagonally Down",14/16,64,--,14—15
39,"Air Dodge, Left/Right",14/16,72,--,14—15
40,"Air Dodge, Diagonally Up",14/16,81,--,14—15
41,"Air Dodge, Up",14/16,89,--,14—15
42,Ledge Grab,14/16,89,--,14—15
43,Ledge Grab,14/16,89,--,14—15
44,Ledge Hang,14/16,89,--,14—15
