,Move name,Start up,Total frame,Advantage,Active frames
0,Ledge Hang,23/32,132,--,12—23
1,Jab 1,7,31,-21 | -20 | -19,7—8
2,Jab 2,5,34,-26 | -26 | -25,5—6
3,Jab 3,9,38,-26 | -25 | -24,9—10
4,Forward Tilt,12/15,32,-12 | -11 | -8,12—14/15—16
5,Up Tilt,6,32,-22/-21 | -20/-20 | -18/-17,6—13
6,Down Tilt,9,22,-9 | -7 | -5,9—12
7,Dash Attack,7,41,-28/-27 | -26/-24 | -22/-20,7—9(10—15)
8,Forward Smash,19,54,-27/-25 | -24/-26 | -19/-21,19—20(21—22)
9,Up Smash,15/19,63,-37/-38 | -34/-36 | -30/-31,15—17/19—20/21—23
10,Down Smash,19,54,-28 | -25 | -21,19—20
11,Neutral Air,10/18,42,-2/-2 | -1/-2 | 0/-1,10—14/18—21
12,Forward Air,7,27,-6 | -6 | -5,7—8
13,Back Air,13,49,-10/-10 | -9/-9 | -7/-7,13—14(15—16)
14,Up Air,10,38,-10/-10 | -9/-10 | -7/-9,10—11(12—13)
15,Down Air,4/11,30,-10/-9 | -9/-9 | -8/-8,4—5/11—12
16,Neutral B (Aura Sphere),9 (+8),48,-30 | -29 | -27,17—**
17,"Aura Sphere, Full Charge",17,56,-27 | -22 | -16,17—**
18,Side B (Force Palm),24,63,-24/-30 | -19/-27 | -10/-24,24—25
19,"Force Palm, Grab",9/37,50,--,9
20,Up B (Extreme Speed),46,--,-23/-31 | -22/-31 | -19/-29,46—47(1)
21,Down B (Double Team),5 (Start of Counter),70,--,5—24(counter)
22,"Double Team, Counterattack",8,47,-31 | -27 | -21,**
23,Grab,7,39,-31 | -27 | -21,7—8
24,Dash Grab,10,46,-31 | -27 | -21,10—11
25,Pivot Grab,11,42,-31 | -27 | -21,11—12
26,Pummel,1,19 | 20 | 21,-31 | -27 | -21,11—12
27,Forward Throw,6/7,21,-31 | -27 | -21,11—12
28,Backward Throw,14,35,-31 | -27 | -21,11—12
29,Up Throw,16/17,37,-31 | -27 | -21,11—12
30,Down Throw,28,50,-31 | -27 | -21,11—12
31,Spot Dodge,28,20/25,-31 | -27 | -21,11—12
32,Forward Roll,28,29,-31 | -27 | -21,11—12
33,Backward Roll,28,34,-31 | -27 | -21,11—12
34,Neutral Air Dodge,28,48,-31 | -27 | -21,11—12
35,"Air Dodge, Down",28,65,-31 | -27 | -21,11—12
36,"Air Dodge, Diagonally Down",28,74,-31 | -27 | -21,11—12
37,"Air Dodge, Left/Right",28,91,-31 | -27 | -21,11—12
38,"Air Dodge, Diagonally Up",28,98,-31 | -27 | -21,11—12
39,"Air Dodge, Up",28,108,-31 | -27 | -21,11—12
40,Ledge Grab,28,108,-31 | -27 | -21,11—12
41,Ledge Grab,28,108,-31 | -27 | -21,11—12
42,Ledge Hang,28,108,-31 | -27 | -21,11—12
