,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,2,19,-13,2
1,Jab 2,3,19,-13,3
2,Jab 3,6,29,-19,6—7
3,Forward Tilt,7,25,-10/-8,7—9
4,Up Tilt,4/7,33,-18,4/7—10(11—14/15—16)
5,Down Tilt,3,15,-6,3—4
6,Dash Attack,13,37,-15/-12,13—17
7,Forward Smash,14,45,-21,14—15
8,Up Smash,28/30,98,-54,28/30—32(33—37/38—42/43—47/48—52/53—54)
9,Down Smash,20/29/39,59,-12,20—22/29—31/39—41
10,Neutral Air,7.../26,44,-10/-9,7—21 (rehit: 5) / 26
11,Forward Air,9,41,-3/-2,9—10/11—12
12,Back Air,15,39,-5/-4/-6,15—19(20—22)
13,Up Air,7,31,-3,7—10
14,Down Air,10/18/26/34,56,-14/-13,10—12/18—20/26—28/34—36
15,Z Air,9,51,-2,9—12(13—21)
16,Neutral B (PK Freeze),40-92,66-118,-14 to -5,40—43(92—95)
17,Side B (PK Fire),21,52,-24,21—38(1—19)
18,Up B (PK Thunder),20,--,--,20—**
19,"Up B, Self-hit (PK Thunder 2)",1/4/6/8/10/12/14/17/20/23/26/29,60,-21,1—2/4—5/6—7/8—9/10—11/12—13/14—15/17—19/20—21/23—24/26—27/29—30
20,Down B (PSI Magnet),19 (7 is start of absorb),27,+0,19
21,Grab,12,46,+0,12—17
22,Dash Grab,14,54,+0,14—19
23,Pivot Grab,15,49,+0,15—20
24,Pummel,1,19,+0,15—20
25,Forward Throw,23,52,+0,15—20
26,Backward Throw,20,52,+0,15—20
27,Up Throw,25,55,+0,15—20
28,Down Throw,41,57,+0,15—20
29,Spot Dodge,41,20/25,+0,15—20
30,Forward Roll,41,29,+0,15—20
31,Backward Roll,41,34,+0,15—20
32,Neutral Air Dodge,41,56,+0,15—20
33,"Air Dodge, Down",41,75,+0,15—20
34,"Air Dodge, Diagonally Down",41,85,+0,15—20
35,"Air Dodge, Left/Right",41,95,+0,15—20
36,"Air Dodge, Diagonally Up",41,117,+0,15—20
37,"Air Dodge, Up",41,126,+0,15—20
38,Ledge Grab,41,126,+0,15—20
39,Ledge Grab,41,126,+0,15—20
40,Ledge Hang,41,126,+0,15—20
