,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,5,25,-16,5—6
1,Jab 2,4,28,-19,4—5
2,Forward Tilt,8,33,-15,8—11
3,Up Tilt,6,33,-19,6—8/9—12
4,Down Tilt,7,23,-8,7—8
5,Dash Attack,13,49,-21,13—16
6,Forward Smash,10,51,-31,10—13
7,Up Smash,13,58,-41/-35,13—14/13—17
8,Down Smash,6/21,55,-42/-24,6—7/21—23
9,Neutral Air,6/15,49,-4/-3,6—7/15—21
10,Forward Air,6,37,-6,6—8
11,Back Air,7,39,-5,7—11
12,Up Air,5,45,-3,5—9
13,Down Air,9/11,59,-9/-9,9—13/11
14,Neutral B (Shieldbreaker),19—78,50—109,-23 to Shieldbreak,19—20 (or frames 1—2 after release)
15,Side B (Dancing Blade),9,39/29,-26/-16,9—11
16,Dancing Blade 2 Neutral,5,38,-29,5—7
17,Dancing Blade 3 Neutral,4,43,-35,4—6
18,Dancing Blade 4 Neutral,7,55,-43,7—9
19,Dancing Blade 2 Up,4,38,-30,4—7
20,Dancing Blade 3 Up,5,43,-34,5—7
21,Dancing Blade 4 Up,6,44,-32,6—10
22,Dancing Blade 3 Down,5,43,-34,5—7
23,Dancing Blade 4 Down,7,74,-50,7/10/13/16/19—21
24,Up B (Dolphin Slash),5,--,--,5—6/6—11
25,Down B (Counter),6 (Start of Counter),64,--,**
26,"Counter, Attack",4,40,--,4—7
27,Grab,6,34,--,6—7
28,Dash Grab,9,42,--,9—10
29,Pivot Grab,10,37,--,10—11
30,Pummel,1,19,--,10—11
31,Forward Throw,18,34,--,10—11
32,Backward Throw,19,47,--,10—11
33,Up Throw,13,44,--,10—11
34,Down Throw,20,46,--,10—11
35,Spot Dodge,20,20/25,--,10—11
36,Forward Roll,20,29,--,10—11
37,Backward Roll,20,34,--,10—11
38,Neutral Air Dodge,20,52,--,10—11
39,"Air Dodge, Down",20,69,--,10—11
40,"Air Dodge, Diagonally Down",20,79,--,10—11
41,"Air Dodge, Left/Right",20,85,--,10—11
42,"Air Dodge, Diagonally Up",20,99,--,10—11
43,"Air Dodge, Up",20,116,--,10—11
44,Ledge Grab,20,116,--,10—11
45,Ledge Grab,20,116,--,10—11
46,Ledge Hang,20,116,--,10—11
