,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
luigi
</h1>","
		Jab 1
		","
		2
		","
		-13
		","
		2—3
		"
1,"<h1 class=""charactername"">
luigi
</h1>","
		Jab 2
		","
		3
		","
		-12
		","
		3—4
		"
2,"<h1 class=""charactername"">
luigi
</h1>","
		Jab 3
		","
		6
		","
		-19
		","
		6—7
		"
3,"<h1 class=""charactername"">
luigi
</h1>","
		Forward Tilt
		","
		5
		","
		-18
		","
		5—7
		"
4,"<h1 class=""charactername"">
luigi
</h1>","
		Up Tilt
		","
		5
		","
		-15
		","
		5—10
		"
5,"<h1 class=""charactername"">
luigi
</h1>","
		Down Tilt
		","
		5
		","
		-2
		","
		5—8
		"
6,"<h1 class=""charactername"">
luigi
</h1>","
		Dash Attack
		","
		4/8/12/16/25
		","
		-18
		","
		4/8/12/16/25
		"
7,"<h1 class=""charactername"">
luigi
</h1>","
		Forward Smash
		","
		12
		","
		-19
		","
		12—13
		"
8,"<h1 class=""charactername"">
luigi
</h1>","
		Up Smash
		","
		9
		","
		-20
		","
		9—13
		"
9,"<h1 class=""charactername"">
luigi
</h1>","
		Down Smash
		","
		6/14
		","
		-21/-13
		","
		6—7/14—15
		"
10,"<h1 class=""charactername"">
luigi
</h1>","
		Down Taunt
		","
		45
		","
		-21/-13
		","
		6—7/14—15
		"
11,"<h1 class=""charactername"">
luigi
</h1>","
		Neutral Air
		","
		3
		","
		-3/-5
		","
		3—5(6—31)
		"
12,"<h1 class=""charactername"">
luigi
</h1>","
		Forward Air
		","
		7
		","
		-9
		","
		7—10
		"
13,"<h1 class=""charactername"">
luigi
</h1>","
		Back Air
		","
		6
		","
		-5/-6
		","
		6—7(8—13)
		"
14,"<h1 class=""charactername"">
luigi
</h1>","
		Up Air
		","
		5
		","
		-3/-4
		","
		5—7(8—11)
		"
15,"<h1 class=""charactername"">
luigi
</h1>","
		Down Air
		","
		10
		","
		-8/-8
		","
		10(11—14)
		"
16,"<h1 class=""charactername"">
luigi
</h1>","
		Z Air
		","
		14
		","
		-2
		","
		14—68
		"
17,"<h1 class=""charactername"">
luigi
</h1>","
		Neutral B (Fireball)
		","
		17
		","
		-20
		","
		17—45(46—66)
		"
18,"<h1 class=""charactername"">
luigi
</h1>","
		Side B (Green Missile)
		","
		22
		","
		-26 to -14/-10
		","
		22—60
		"
19,"<h1 class=""charactername"">
luigi
</h1>","
		Up B (Super Jump Punch, Ground)
		","
		8
		","
		-79/-99
		","
		8(9—23)
		"
20,"<h1 class=""charactername"">
luigi
</h1>","
		Up B (Super Jump Punch, Air)
		","
		6
		","
		**
		","
		6(7—23)
		"
21,"<h1 class=""charactername"">
luigi
</h1>","
		Down B (Luigi Cyclone)
		","
		10.../40
		","
		-40
		","
		10—33(rehit:6)/40
		"
22,"<h1 class=""charactername"">
luigi
</h1>","
		Grab
		","
		14
		","
		-40
		","
		14—20
		"
23,"<h1 class=""charactername"">
luigi
</h1>","
		Dash Grab
		","
		16
		","
		-40
		","
		16—22
		"
24,"<h1 class=""charactername"">
luigi
</h1>","
		Pivot Grab
		","
		17
		","
		-40
		","
		17—24
		"
25,"<h1 class=""charactername"">
luigi
</h1>","
		Pummel
		","
		1
		","
		-40
		","
		17—24
		"
26,"<h1 class=""charactername"">
luigi
</h1>","
		Forward Throw
		","
		15
		","
		-40
		","
		17—24
		"
27,"<h1 class=""charactername"">
luigi
</h1>","
		Backward Throw
		","
		15
		","
		-40
		","
		17—24
		"
28,"<h1 class=""charactername"">
luigi
</h1>","
		Up Throw
		","
		18
		","
		-40
		","
		17—24
		"
29,"<h1 class=""charactername"">
luigi
</h1>","
		Down Throw
		","
		18/29
		","
		-40
		","
		17—24
		"
30,"<h1 class=""charactername"">
luigi
</h1>","
		Spot Dodge
		","
		18/29
		","
		-40
		","
		17—24
		"
31,"<h1 class=""charactername"">
luigi
</h1>","
		Forward Roll
		","
		18/29
		","
		-40
		","
		17—24
		"
32,"<h1 class=""charactername"">
luigi
</h1>","
		Backward Roll
		","
		18/29
		","
		-40
		","
		17—24
		"
33,"<h1 class=""charactername"">
luigi
</h1>","
		Neutral Air Dodge
		","
		18/29
		","
		-40
		","
		17—24
		"
34,"<h1 class=""charactername"">
luigi
</h1>","
		Air Dodge, Down
		","
		18/29
		","
		-40
		","
		17—24
		"
35,"<h1 class=""charactername"">
luigi
</h1>","
		Air Dodge, Diagonally Down
		","
		18/29
		","
		-40
		","
		17—24
		"
36,"<h1 class=""charactername"">
luigi
</h1>","
		Air Dodge, Left/Right
		","
		18/29
		","
		-40
		","
		17—24
		"
37,"<h1 class=""charactername"">
luigi
</h1>","
		Air Dodge, Diagonally Up
		","
		18/29
		","
		-40
		","
		17—24
		"
38,"<h1 class=""charactername"">
luigi
</h1>","
		Air Dodge, Up
		","
		18/29
		","
		-40
		","
		17—24
		"
39,"<h1 class=""charactername"">
luigi
</h1>","
			Ledge Grab
		","
		18/29
		","
		-40
		","
		17—24
		"
40,"<h1 class=""charactername"">
luigi
</h1>","
			Ledge Grab
		","
		18/29
		","
		-40
		","
		17—24
		"
41,"<h1 class=""charactername"">
luigi
</h1>","
				Ledge Hang
			","
		18/29
		","
		-40
		","
		17—24
		"
