,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Mario
</h1>","
		Jab 1
		","
		2
		","
		-14
		","
		2—3
		"
1,"<h1 class=""charactername"">
Mario
</h1>","
		Jab 2
		","
		2
		","
		-16
		","
		2—3
		"
2,"<h1 class=""charactername"">
Mario
</h1>","
		Jab 3
		","
		3
		","
		-29
		","
		3—4
		"
3,"<h1 class=""charactername"">
Mario
</h1>","
		Forward Tilt
		","
		5
		","
		-13
		","
		5—7
		"
4,"<h1 class=""charactername"">
Mario
</h1>","
		Up Tilt
		","
		5
		","
		-18
		","
		5—11
		"
5,"<h1 class=""charactername"">
Mario
</h1>","
		Down Tilt
		","
		5
		","
		-15/-16
		","
		5—7
		"
6,"<h1 class=""charactername"">
Mario
</h1>","
		Dash Attack
		","
		6
		","
		-17
		","
		6—9(10—25)
		"
7,"<h1 class=""charactername"">
Mario
</h1>","
		Forward Smash
		","
		15
		","
		-22/-20
		","
		15—17
		"
8,"<h1 class=""charactername"">
Mario
</h1>","
		Up Smash
		","
		9
		","
		-20
		","
		9—12
		"
9,"<h1 class=""charactername"">
Mario
</h1>","
		Down Smash
		","
		5/14
		","
		-31/-21
		","
		5—6/14
		"
10,"<h1 class=""charactername"">
Mario
</h1>","
		Neutral Air
		","
		3
		","
		-2/-3/-3/-3
		","
		3—5(6—27)
		"
11,"<h1 class=""charactername"">
Mario
</h1>","
		Forward Air
		","
		16
		","
		-12/-12/-12
		","
		16/17—20/21
		"
12,"<h1 class=""charactername"">
Mario
</h1>","
		Back Air
		","
		6
		","
		-2/-3/-2/-3
		","
		6—7(8—10)
		"
13,"<h1 class=""charactername"">
Mario
</h1>","
		Up Air
		","
		4
		","
		-3
		","
		4—7
		"
14,"<h1 class=""charactername"">
Mario
</h1>","
		Down Air
		","
		5/7/9/11/13/23
		","
		-11
		","
		5/7/9/11/13/23(1—2)
		"
15,"<h1 class=""charactername"">
Mario
</h1>","
		Neutral B (Fireball)
		","
		17
		","
		-23
		","
		17—21(22—46/47—86)
		"
16,"<h1 class=""charactername"">
Mario
</h1>","
		Side B (Cape)
		","
		12
		","
		-16
		","
		12—14
		"
17,"<h1 class=""charactername"">
Mario
</h1>","
		Up B (Super Jump Punch)
		","
		3...
		","
		--
		","
		3-6/7-16/17-18
		"
18,"<h1 class=""charactername"">
Mario
</h1>","
		Down B (F.L.U.D.D.)
		","
		2 (+19)
		","
		--
		","
		21—**
		"
19,"<h1 class=""charactername"">
Mario
</h1>","
		Down B, Fully Charged (F.L.U.D.D.)
		","
		21
		","
		--
		","
		21—**
		"
20,"<h1 class=""charactername"">
Mario
</h1>","
		Grab
		","
		6
		","
		--
		","
		6—7
		"
21,"<h1 class=""charactername"">
Mario
</h1>","
		Dash Grab
		","
		9
		","
		--
		","
		9—10
		"
22,"<h1 class=""charactername"">
Mario
</h1>","
		Pivot Grab
		","
		10
		","
		--
		","
		10—11
		"
23,"<h1 class=""charactername"">
Mario
</h1>","
		Pummel
		","
		1
		","
		--
		","
		10—11
		"
24,"<h1 class=""charactername"">
Mario
</h1>","
		Forward Throw
		","
		13
		","
		--
		","
		10—11
		"
25,"<h1 class=""charactername"">
Mario
</h1>","
		Backward Throw
		","
		44
		","
		--
		","
		10—11
		"
26,"<h1 class=""charactername"">
Mario
</h1>","
		Up Throw
		","
		18
		","
		--
		","
		10—11
		"
27,"<h1 class=""charactername"">
Mario
</h1>","
		Down Throw
		","
		18
		","
		--
		","
		10—11
		"
28,"<h1 class=""charactername"">
Mario
</h1>","
		Spot Dodge
		","
		18
		","
		--
		","
		10—11
		"
29,"<h1 class=""charactername"">
Mario
</h1>","
		Forward Roll
		","
		18
		","
		--
		","
		10—11
		"
30,"<h1 class=""charactername"">
Mario
</h1>","
		Backward Roll
		","
		18
		","
		--
		","
		10—11
		"
31,"<h1 class=""charactername"">
Mario
</h1>","
		Neutral Air Dodge
		","
		18
		","
		--
		","
		10—11
		"
32,"<h1 class=""charactername"">
Mario
</h1>","
		Air Dodge, Down
		","
		18
		","
		--
		","
		10—11
		"
33,"<h1 class=""charactername"">
Mario
</h1>","
		Air Dodge, Diagonally Down
		","
		18
		","
		--
		","
		10—11
		"
34,"<h1 class=""charactername"">
Mario
</h1>","
		Air Dodge, Left/Right
		","
		18
		","
		--
		","
		10—11
		"
35,"<h1 class=""charactername"">
Mario
</h1>","
		Air Dodge, Diagonally Up
		","
		18
		","
		--
		","
		10—11
		"
36,"<h1 class=""charactername"">
Mario
</h1>","
		Air Dodge, Up
		","
		18
		","
		--
		","
		10—11
		"
37,"<h1 class=""charactername"">
Mario
</h1>","
			Ledge Grab
		","
		18
		","
		--
		","
		10—11
		"
38,"<h1 class=""charactername"">
Mario
</h1>","
			Ledge Grab
		","
		18
		","
		--
		","
		10—11
		"
39,"<h1 class=""charactername"">
Mario
</h1>","
				Ledge Hang
			","
		18
		","
		--
		","
		10—11
		"
