,Move name,Start up,Total frame,Advantage,Active frames
0,Jab,7/19/31,35/47/59,-25/-23/-20,7 [7—9(10—13/14—30)] / 19 [19—22(23—26/27—42)] / 31 [31—34(35—38/39—54)]
1,Forward Tilt,7/19/31,33/45/57,-25/-23/-20,7—9(10—13/14—30) / 19—22(23—26/27—42) / 31—34(35—38/39—54)
2,Up Tilt,6,70/52/54,-49/-31/-33,6(7—9/10—16)
3,Down Tilt,5,46,-33,5—8(9—21)
4,Dash Attack,8/11/14/17/20/23/26/36,60,-16,8/11/14/17/20/23/26/36
5,Forward Smash,19,54,-18,19—42(79—108/199—222)
6,Up Smash,8/11/15/19/23/27/31,68,-32,8/11—12/15—16/19—20/23—24/27—28/31
7,Down Smash,17,78,-50,17(18—19/20—33)
8,Neutral Air,7/19/31,33/45/57,-25/-23/-20,7 [7—9(10—13/14—30)] / 19 [19—22(23—26/27—42)] / 31 [31—34(35—38/39—54)]
9,Forward Air,9,40,-7/-7/-8,9—11(12—17)
10,Back Air,4/7/10,44,-18/-17/-17,4—5/7—8/10—11
11,Up Air,11...,53,--,11—17/18—31/32—54/55—61 (rehit: 3/5/5/5)
12,Down Air,23,64,+1/+0,23—25(26—35)
13,Neutral B (Metal Blade),16,42,-17,**
14,Side B (Crash Bomber),19,44,**,19—69
15,Up B (Rush Coil),--,41,--,--
16,Down B (Leaf Shield),9—**,35,**,9—**
17,"Leaf Shield, Throw",--,55,**,**
18,Grab,6,37,**,6—7
19,Dash Grab,9,45,**,9—10
20,Pivot Grab,10,40,**,10—11
21,Pummel,1,19,**,10—11
22,Forward Throw,10,32,**,10—11
23,Backward Throw,18,43,**,10—11
24,Up Throw,12,39,**,10—11
25,Down Throw,17,39,**,10—11
26,Spot Dodge,17,20/25,**,10—11
27,Forward Roll,17,29,**,10—11
28,Backward Roll,17,34,**,10—11
29,Neutral Air Dodge,17,45,**,10—11
30,"Air Dodge, Down",17,63,**,10—11
31,"Air Dodge, Diagonally Down",17,70,**,10—11
32,"Air Dodge, Left/Right",17,76,**,10—11
33,"Air Dodge, Diagonally Up",17,84,**,10—11
34,"Air Dodge, Up",17,98,**,10—11
35,Ledge Grab,17,98,**,10—11
36,Ledge Grab,17,98,**,10—11
37,Ledge Hang,17,98,**,10—11
