,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
meta knight
</h1>","
		Rapid Jab
		","
		4/7/10...
		","
		--
		","
		4/7/10...
		"
1,"<h1 class=""charactername"">
meta knight
</h1>","
		Rapid Jab Finisher
		","
		3
		","
		-24
		","
		3
		"
2,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Tilt 1
		","
		6
		","
		-16
		","
		6
		"
3,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Tilt 2
		","
		2
		","
		-22
		","
		2
		"
4,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Tilt 3
		","
		2
		","
		-23
		","
		2
		"
5,"<h1 class=""charactername"">
meta knight
</h1>","
		Up Tilt
		","
		8
		","
		-20/-19
		","
		8—10/11—14
		"
6,"<h1 class=""charactername"">
meta knight
</h1>","
		Down Tilt
		","
		3
		","
		-9
		","
		3—4
		"
7,"<h1 class=""charactername"">
meta knight
</h1>","
		Dash Attack
		","
		7
		","
		-18
		","
		7—11
		"
8,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Smash
		","
		24
		","
		-6
		","
		24
		"
9,"<h1 class=""charactername"">
meta knight
</h1>","
		Up Smash
		","
		8/12/17
		","
		-28
		","
		8/12/17
		"
10,"<h1 class=""charactername"">
meta knight
</h1>","
		Down Smash
		","
		4/9
		","
		-26/-19
		","
		4/9
		"
11,"<h1 class=""charactername"">
meta knight
</h1>","
		Neutral Air
		","
		6
		","
		-3/-4
		","
		6—7/8—20
		"
12,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Air
		","
		9/12/15
		","
		-8/-8
		","
		9/12/15
		"
13,"<h1 class=""charactername"">
meta knight
</h1>","
		Back Air
		","
		7/13/20
		","
		-9/-8
		","
		7—8/13—14/20—21
		"
14,"<h1 class=""charactername"">
meta knight
</h1>","
		Up Air
		","
		6
		","
		-6
		","
		6
		"
15,"<h1 class=""charactername"">
meta knight
</h1>","
		Down Air
		","
		4
		","
		-6
		","
		4
		"
16,"<h1 class=""charactername"">
meta knight
</h1>","
		Neutral B (Mach Tornado)
		","
		12
		","
		-81
		","
		12—21/22—46
		"
17,"<h1 class=""charactername"">
meta knight
</h1>","
		Side B (Drill Rush)
		","
		26/30/34/38/42/46/ 50/54/58/62/66/70
		","
		-24
		","
		26—69/70
		"
18,"<h1 class=""charactername"">
meta knight
</h1>","
		Up B (Shuttle Loop)
		","
		8/22
		","
		**
		","
		(8/9—10/11—12)22—27
		"
19,"<h1 class=""charactername"">
meta knight
</h1>","
		Up B, Air (Shuttle Loop, Air)
		","
		7/20
		","
		**
		","
		(7/8—10)20—26
		"
20,"<h1 class=""charactername"">
meta knight
</h1>","
		Down B (Dimensional Cape)
		","
		--
		","
		--
		","
		**
		"
21,"<h1 class=""charactername"">
meta knight
</h1>","
		Dimensional Cape, Attack
		","
		34
		","
		-44
		","
		34
		"
22,"<h1 class=""charactername"">
meta knight
</h1>","
		Grab
		","
		7
		","
		-44
		","
		7—8
		"
23,"<h1 class=""charactername"">
meta knight
</h1>","
		Dash Grab
		","
		11
		","
		-44
		","
		11—12
		"
24,"<h1 class=""charactername"">
meta knight
</h1>","
		Pivot Grab
		","
		12
		","
		-44
		","
		12—13
		"
25,"<h1 class=""charactername"">
meta knight
</h1>","
		Pummel
		","
		1
		","
		-44
		","
		12—13
		"
26,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Throw
		","
		8/10
		","
		-44
		","
		12—13
		"
27,"<h1 class=""charactername"">
meta knight
</h1>","
		Backward Throw
		","
		16/18
		","
		-44
		","
		12—13
		"
28,"<h1 class=""charactername"">
meta knight
</h1>","
		Up Throw
		","
		46
		","
		-44
		","
		12—13
		"
29,"<h1 class=""charactername"">
meta knight
</h1>","
		Down Throw
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
30,"<h1 class=""charactername"">
meta knight
</h1>","
		Spot Dodge
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
31,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Roll
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
32,"<h1 class=""charactername"">
meta knight
</h1>","
		Backward Roll
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
33,"<h1 class=""charactername"">
meta knight
</h1>","
		Neutral Air Dodge
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
34,"<h1 class=""charactername"">
meta knight
</h1>","
		Air Dodge, Down
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
35,"<h1 class=""charactername"">
meta knight
</h1>","
		Air Dodge, Diagonally Down
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
36,"<h1 class=""charactername"">
meta knight
</h1>","
		Air Dodge, Left/Right
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
37,"<h1 class=""charactername"">
meta knight
</h1>","
		Air Dodge, Diagonally Up
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
38,"<h1 class=""charactername"">
meta knight
</h1>","
		Air Dodge, Up
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
39,"<h1 class=""charactername"">
meta knight
</h1>","
			Ledge Grab
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
40,"<h1 class=""charactername"">
meta knight
</h1>","
			Ledge Grab
		","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
41,"<h1 class=""charactername"">
meta knight
</h1>","
				Ledge Hang
			","
		11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74
		","
		-44
		","
		12—13
		"
