,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
mii gunner
</h1>","
		Jab 1
		","
		5
		","
		-17
		","
		5—6
		"
1,"<h1 class=""charactername"">
mii gunner
</h1>","
		Jab 2
		","
		4
		","
		-18
		","
		4—6
		"
2,"<h1 class=""charactername"">
mii gunner
</h1>","
		Jab 3
		","
		6/12
		","
		-19
		","
		6—8, 12—13
		"
3,"<h1 class=""charactername"">
mii gunner
</h1>","
		Forward Tilt
		","
		7
		","
		-14
		","
		7—8/9—10/11—12
		"
4,"<h1 class=""charactername"">
mii gunner
</h1>","
		Up Tilt
		","
		5
		","
		-22
		","
		5—7/8—9
		"
5,"<h1 class=""charactername"">
mii gunner
</h1>","
		Down Tilt
		","
		8
		","
		-19
		","
		8—10
		"
6,"<h1 class=""charactername"">
mii gunner
</h1>","
		Dash Attack
		","
		10
		","
		-20
		","
		10—14
		"
7,"<h1 class=""charactername"">
mii gunner
</h1>","
		Forward Smash
		","
		17...
		","
		-31
		","
		17—38(rehit: 4)/40
		"
8,"<h1 class=""charactername"">
mii gunner
</h1>","
		Up Smash
		","
		11/15/19/23/27
		","
		-22
		","
		11—12/15—16/19—20/23—24/27—28
		"
9,"<h1 class=""charactername"">
mii gunner
</h1>","
		Down Smash
		","
		9/23
		","
		-35/-19
		","
		9/23—25
		"
10,"<h1 class=""charactername"">
mii gunner
</h1>","
		Neutral Air
		","
		8
		","
		-7
		","
		8—21
		"
11,"<h1 class=""charactername"">
mii gunner
</h1>","
		Forward Air
		","
		12
		","
		-1
		","
		12—16/17—20
		"
12,"<h1 class=""charactername"">
mii gunner
</h1>","
		Back Air
		","
		9
		","
		-6
		","
		9—10/11
		"
13,"<h1 class=""charactername"">
mii gunner
</h1>","
		Up Air
		","
		17...
		","
		-11/-10
		","
		17/18—32(rehit: 3)/34
		"
14,"<h1 class=""charactername"">
mii gunner
</h1>","
		Down Air
		","
		20
		","
		-12/-13/-12
		","
		20—21/22—25
		"
15,"<h1 class=""charactername"">
mii gunner
</h1>","
		Charge Blast
		","
		3(+12)
		","
		-26 to -5
		","
		**
		"
16,"<h1 class=""charactername"">
mii gunner
</h1>","
		Laser Blaze
		","
		10
		","
		-23
		","
		10—**
		"
17,"<h1 class=""charactername"">
mii gunner
</h1>","
		Grenade Launch
		","
		36
		","
		+10
		","
		**
		"
18,"<h1 class=""charactername"">
mii gunner
</h1>","
		Flame Pillar
		","
		21
		","
		-36
		","
		**
		"
19,"<h1 class=""charactername"">
mii gunner
</h1>","
		Stealth Burst
		","
		36—66
		","
		-21 to -17
		","
		**
		"
20,"<h1 class=""charactername"">
mii gunner
</h1>","
		Gunner Missile (Homing)
		","
		27
		","
		-9
		","
		27—121
		"
21,"<h1 class=""charactername"">
mii gunner
</h1>","
		Gunner Missle (Super)
		","
		23
		","
		-11
		","
		23—93
		"
22,"<h1 class=""charactername"">
mii gunner
</h1>","
		Lunar Launch
		","
		12
		","
		--
		","
		12—25
		"
23,"<h1 class=""charactername"">
mii gunner
</h1>","
		Cannon Jump Kick
		","
		6/10
		","
		**
		","
		6—7/(10—15/16—30)
		"
24,"<h1 class=""charactername"">
mii gunner
</h1>","
		Arm Rocket
		","
		**
		","
		--
		","
		**
		"
25,"<h1 class=""charactername"">
mii gunner
</h1>","
		Echo Reflector
		","
		3 (4 is Start of Reflector)
		","
		-32
		","
		**
		"
26,"<h1 class=""charactername"">
mii gunner
</h1>","
		Bomb Drop
		","
		18—133
		","
		-18
		","
		18—133/1—4
		"
27,"<h1 class=""charactername"">
mii gunner
</h1>","
		Absorbing Vortex
		","
		7
		","
		-10
		","
		7—11
		"
28,"<h1 class=""charactername"">
mii gunner
</h1>","
		Grab
		","
		6
		","
		-10
		","
		6—7
		"
29,"<h1 class=""charactername"">
mii gunner
</h1>","
		Dash Grab
		","
		9
		","
		-10
		","
		9—10
		"
30,"<h1 class=""charactername"">
mii gunner
</h1>","
		Pivot Grab
		","
		10
		","
		-10
		","
		10—11
		"
31,"<h1 class=""charactername"">
mii gunner
</h1>","
		Pummel
		","
		1
		","
		-10
		","
		10—11
		"
32,"<h1 class=""charactername"">
mii gunner
</h1>","
		Forward Throw
		","
		10/12
		","
		-10
		","
		10—11
		"
33,"<h1 class=""charactername"">
mii gunner
</h1>","
		Backward Throw
		","
		10
		","
		-10
		","
		10—11
		"
34,"<h1 class=""charactername"">
mii gunner
</h1>","
		Up Throw
		","
		7
		","
		-10
		","
		10—11
		"
35,"<h1 class=""charactername"">
mii gunner
</h1>","
		Down Throw
		","
		16
		","
		-10
		","
		10—11
		"
36,"<h1 class=""charactername"">
mii gunner
</h1>","
		Spot Dodge
		","
		16
		","
		-10
		","
		10—11
		"
37,"<h1 class=""charactername"">
mii gunner
</h1>","
		Forward Roll
		","
		16
		","
		-10
		","
		10—11
		"
38,"<h1 class=""charactername"">
mii gunner
</h1>","
		Backward Roll
		","
		16
		","
		-10
		","
		10—11
		"
39,"<h1 class=""charactername"">
mii gunner
</h1>","
		Neutral Air Dodge
		","
		16
		","
		-10
		","
		10—11
		"
40,"<h1 class=""charactername"">
mii gunner
</h1>","
		Air Dodge, Down
		","
		16
		","
		-10
		","
		10—11
		"
41,"<h1 class=""charactername"">
mii gunner
</h1>","
		Air Dodge, Diagonally Down
		","
		16
		","
		-10
		","
		10—11
		"
42,"<h1 class=""charactername"">
mii gunner
</h1>","
		Air Dodge, Left/Right
		","
		16
		","
		-10
		","
		10—11
		"
43,"<h1 class=""charactername"">
mii gunner
</h1>","
		Air Dodge, Diagonally Up
		","
		16
		","
		-10
		","
		10—11
		"
44,"<h1 class=""charactername"">
mii gunner
</h1>","
		Air Dodge, Up
		","
		16
		","
		-10
		","
		10—11
		"
45,"<h1 class=""charactername"">
mii gunner
</h1>","
			Ledge Grab
		","
		16
		","
		-10
		","
		10—11
		"
46,"<h1 class=""charactername"">
mii gunner
</h1>","
			Ledge Grab
		","
		16
		","
		-10
		","
		10—11
		"
47,"<h1 class=""charactername"">
mii gunner
</h1>","
				Ledge Hang
			","
		16
		","
		-10
		","
		10—11
		"
