,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Jab 1
		","
		6
		","
		-9
		","
		6—7
		"
1,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Jab 2
		","
		6
		","
		-12
		","
		6—7
		"
2,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Jab 3
		","
		6
		","
		-26
		","
		6—8
		"
3,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Forward Tilt
		","
		10
		","
		-16
		","
		10—11
		"
4,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Up Tilt
		","
		8
		","
		-17
		","
		8—12
		"
5,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Down Tilt
		","
		5
		","
		-6
		","
		5—6
		"
6,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Dash Attack
		","
		9
		","
		-18
		","
		9—10
		"
7,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Forward Smash
		","
		15
		","
		-34/-34/-33
		","
		15—17
		"
8,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Up Smash
		","
		11/14/21
		","
		-32
		","
		11—12/14—15/21—22
		"
9,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Down Smash
		","
		7/15
		","
		-38/-28
		","
		7—8/15—16
		"
10,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Neutral Air
		","
		10
		","
		-5
		","
		10—23
		"
11,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Forward Air
		","
		12/16/21
		","
		-10/-9
		","
		12—13/16—17/21—22
		"
12,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Back Air
		","
		10
		","
		-4
		","
		10—11
		"
13,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Up Air
		","
		11
		","
		-4/-6
		","
		11—13(14—23)
		"
14,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Down Air
		","
		14...
		","
		-11
		","
		14—37(rehit: 5)/1—3
		"
15,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Gale Strike
		","
		20
		","
		-33
		","
		20—37(38—55/56—71)
		"
16,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Shuriken of Light
		","
		13
		","
		-18
		","
		13—20(21—28/29—36/37—50)
		"
17,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Blurring Blade
		","
		17/21/25/29/33/44
		","
		-32 to -23
		","
		17—18/21—22/25—26/29—30/33—34/44—45
		"
18,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Airborne Assault
		","
		2(+25)
		","
		-41
		","
		**
		"
19,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Gale Stab
		","
		2(+7)
		","
		-24 to -16
		","
		**
		"
20,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Chakram
		","
		18
		","
		-27/-20
		","
		18—89/18—40
		"
21,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Stone Scabbard
		","
		13/42
		","
		-37 
		","
		**
		"
22,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Skyward Slash Dash
		","
		15/19/22/25/28/31/34
		","
		-38
		","
		15/19—20/22—23/25—26/28—29/31—32/34—35
		"
23,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Hero's Spin
		","
		8
		","
		-57 to -53
		","
		8—9(10—14/15—24/25—40)
		"
24,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Hero's Spin (Air)
		","
		8/16/22/26/31/38/47
		","
		**
		","
		8/11/16/19/22/26/31/38/47—48
		"
25,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Blade Counter
		","
		6 (Start of Counter)
		","
		--
		","
		6—25 (counter)
		"
26,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Blade Counter, Activated
		","
		21
		","
		--
		","
		21—22
		"
27,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Reversal Slash
		","
		16 (5 is Start of Reflector)
		","
		-13
		","
		16—17
		"
28,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Power Thrust
		","
		14
		","
		-33
		","
		14—16(17—24/25—32)
		"
29,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Power Thrust (Air)
		","
		16
		","
		-31
		","
		16—18(19—26/27—31)/1—2
		"
30,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Grab
		","
		6
		","
		-31
		","
		6—7
		"
31,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Dash Grab
		","
		9
		","
		-31
		","
		9—10
		"
32,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Pivot Grab
		","
		10
		","
		-31
		","
		10—11
		"
33,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Pummel
		","
		1
		","
		-31
		","
		10—11
		"
34,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Forward Throw
		","
		11/13
		","
		-31
		","
		10—11
		"
35,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Backward Throw
		","
		15/16
		","
		-31
		","
		10—11
		"
36,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Up Throw
		","
		21/23
		","
		-31
		","
		10—11
		"
37,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Down Throw
		","
		15/16
		","
		-31
		","
		10—11
		"
38,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Spot Dodge
		","
		15/16
		","
		-31
		","
		10—11
		"
39,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Forward Roll
		","
		15/16
		","
		-31
		","
		10—11
		"
40,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Backward Roll
		","
		15/16
		","
		-31
		","
		10—11
		"
41,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Neutral Air Dodge
		","
		15/16
		","
		-31
		","
		10—11
		"
42,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Air Dodge, Down
		","
		15/16
		","
		-31
		","
		10—11
		"
43,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Air Dodge, Diagonally Down
		","
		15/16
		","
		-31
		","
		10—11
		"
44,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Air Dodge, Left/Right
		","
		15/16
		","
		-31
		","
		10—11
		"
45,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Air Dodge, Diagonally Up
		","
		15/16
		","
		-31
		","
		10—11
		"
46,"<h1 class=""charactername"">
mii swordfighter
</h1>","
		Air Dodge, Up
		","
		15/16
		","
		-31
		","
		10—11
		"
47,"<h1 class=""charactername"">
mii swordfighter
</h1>","
			Ledge Grab
		","
		15/16
		","
		-31
		","
		10—11
		"
48,"<h1 class=""charactername"">
mii swordfighter
</h1>","
			Ledge Grab
		","
		15/16
		","
		-31
		","
		10—11
		"
49,"<h1 class=""charactername"">
mii swordfighter
</h1>","
				Ledge Hang
			","
		15/16
		","
		-31
		","
		10—11
		"
