,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
				Ledge Hang
			","
		16
		","
		--
		","
		11—12
		"
1,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Jab
		","
		4
		","
		-7
		","
		4—5
		"
2,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Rapid Jab
		","
		5/11/17...
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Rapid Jab Finisher
		","
		2
		","
		-28
		","
		2
		"
4,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Tilt
		","
		8
		","
		-18
		","
		8—9(10—20)
		"
5,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up Tilt
		","
		10/20
		","
		-16/-6
		","
		10—12/20—22
		"
6,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down Tilt
		","
		6
		","
		-27
		","
		6—8
		"
7,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Dash Attack
		","
		6
		","
		-21
		","
		6—9(10—19)
		"
8,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Smash
		","
		17
		","
		-15/-13
		","
		17—18
		"
9,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up Smash
		","
		21
		","
		-6
		","
		21—25
		"
10,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down Smash
		","
		12
		","
		-16/-15
		","
		12—16
		"
11,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Neutral Air
		","
		7/12/17/22
		","
		-5/-4
		","
		7—10/12—15/17—20/22—23
		"
12,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Air
		","
		10/44
		","
		-3
		","
		10—13/**
		"
13,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Back Air
		","
		10/14/18/22
		","
		-13
		","
		10—13/14—17/18—21/22/1
		"
14,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up Air
		","
		9/15/21/27/33/37
		","
		**
		","
		9/15/21/27/33/37—41
		"
15,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down Air
		","
		12
		","
		-17
		","
		12—13/14—38/1—2
		"
16,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Neutral B (Chef)
		","
		18
		","
		-28
		","
		18—20/**
		"
17,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Side B (Judge)
		","
		16 
		","
		-30, -28, -27, -25, -20, -22, -20, -21, -6
		","
		16—23 (Judge 5: 16—18/19—21/22—24/25—27)
		"
18,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up B (Fire)
		","
		3/9
		","
		**
		","
		3—4/9—18
		"
