,Move name,Start up,Total frame,Advantage,Active frames
0,Ledge Hang,26,96,-26,12—14
1,Jab 1,4,19,-11/-10,4(5)
2,Jab 2,4,17,-9/-8,4—5
3,Forward Tilt,15,35,-10,15—17
4,Up Tilt,6/8/10/12/14/16,38,-17,6/8/10/12/14/16
5,Down Tilt,6,29,-17,6—12
6,Dash Attack,8/11,37,-21,8—10/11—14
7,Forward Smash (Early),11,39,-13/-11/-16/-18/-10,11—12
8,Forward Smash (Late),13,39,-14/-13/-17/-19/-14,13—19 (Purple: 13—18)
9,Forward Smash (Later),20 (Purple: 19),39,-12/-10/-13/-13/-10,20—29 (Purple: 19—24)
10,Up Smash (Close),12,39,-10/-8/-13/-15/-8,12—16
11,Up Smash (Far),12,39,-12/-11/-15/-17/-12,12—13
12,Up Smash (Late),17,39,-8/-6/-11/-12/-6,17—22
13,Down Smash (Early),10,38,-13/-11/-16/-17/-11,10—13
14,Down Smash (Late),14,38,-11/-9/-13/-14/-10,14—18 (Purple: 14—15)
15,Neutral Air,7/11/15/19/23,53,-11/-11,7—8/11—12/15—16/19—20/23—24
16,Forward Air,7,42,-4/-5/-5/-6/-4,7—9
17,Back Air,10,48,-4/-5/-5/-5/-3,10—13
18,Up Air,8,34,-13/-14/-14/-15/-13,8—15
19,Down Air,9,51,-13/-14/-14/-15/-13,9—10/11—16
20,Neutral B (Pikmin Pluck),--,8,--,1
21,Side B (Pikmin Throw),9,24,Purple: -6,9—127(9—107)
22,Up B (Winged Pikmin),--,--,--,--
23,Down B (Pikmin Order/Whistle),2 (Start of Super Armor),17,--,2—7 (armor)
24,Grab,12,41/47/56,--,12—23
25,Dash Grab,12,49/57/68,--,12—23
26,Pivot Grab,12,44/51/60,--,12—23
27,Pummel,1,16,--,12—23
28,Forward Throw,19,35,--,12—23
29,Backward Throw,22,39,--,12—23
30,Up Throw,22/23,49,--,12—23
31,Down Throw,23/32,41,--,12—23
32,Spot Dodge,23/32,20/25,--,12—23
33,Forward Roll,23/32,29,--,12—23
34,Backward Roll,23/32,34,--,12—23
35,Neutral Air Dodge,23/32,57,--,12—23
36,"Air Dodge, Down",23/32,78,--,12—23
37,"Air Dodge, Diagonally Down",23/32,87,--,12—23
38,"Air Dodge, Left/Right",23/32,96,--,12—23
39,"Air Dodge, Diagonally Up",23/32,118,--,12—23
40,"Air Dodge, Up",23/32,132,--,12—23
41,Ledge Grab,23/32,132,--,12—23
42,Ledge Grab,23/32,132,--,12—23
43,Ledge Hang,23/32,132,--,12—23
