,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,4,19,-12,4
1,Jab 2,4,21,-14,4
2,Jab 3,4,33,-24,4—5
3,Forward Tilt,5,30,-17,5—7
4,Up Tilt,7,24,-10,7—10
5,Down Tilt,7,26,-13,7—9
6,Dash Attack,10/19/28/37,45,-3,10—11/19—20/28—29/37
7,Forward Smash,16,52,-25,16—18(19—29)
8,Up Smash,11/15,49,-24,11/15—17(18—28)
9,Down Smash,15,54,-30,15—17(18—28)
10,Neutral Air,3,51,-3/-4,3—5(6—9/10—19)
11,Forward Air,5,25,-6,5—8
12,Back Air,9,40,-8/-10,9—11(12—16)
13,Up Air,9,36,-6,9—16
14,Down Air,6/13/20/27,49,-10/-9,6—7/13—14/20—21/27—28
15,"Neutral B (Bonus Fruit, Throw)",12(+7),41,-22/-20/-19/-17/-16/-18/-19/-14,**
16,Side B (Power Pellet (Travel | Dash)),24—42 | 35—53,83—118,-42 to -54,**
17,Up B (Pac-Jump),4,--,**,4—11(12—16/17—21)
18,Down B (Fire Hydrant),12,34,-11,**
19,Grab,12,58,-11,12—33
20,Dash Grab,14,66,-11,14—35
21,Pivot Grab,15,61,-11,15—36
22,Pummel,1,19,-11,15—36
23,Forward Throw,13,33,-11,15—36
24,Backward Throw,25,59,-11,15—36
25,Up Throw,18,37,-11,15—36
26,Down Throw,16/24/32/34,64,-11,15—36
27,Spot Dodge,16/24/32/34,20/25,-11,15—36
28,Forward Roll,16/24/32/34,29,-11,15—36
29,Backward Roll,16/24/32/34,34,-11,15—36
30,Neutral Air Dodge,16/24/32/34,55,-11,15—36
31,"Air Dodge, Down",16/24/32/34,78,-11,15—36
32,"Air Dodge, Diagonally Down",16/24/32/34,87,-11,15—36
33,"Air Dodge, Left/Right",16/24/32/34,96,-11,15—36
34,"Air Dodge, Diagonally Up",16/24/32/34,111,-11,15—36
35,"Air Dodge, Up",16/24/32/34,130,-11,15—36
36,Ledge Grab,16/24/32/34,130,-11,15—36
37,Ledge Grab,16/24/32/34,130,-11,15—36
38,Ledge Hang,16/24/32/34,130,-11,15—36
