,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
pichu
</h1>","
		Jab
		","
		2
		","
		-11
		","
		2—3
		"
1,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Tilt
		","
		5
		","
		-11
		","
		5—12
		"
2,"<h1 class=""charactername"">
pichu
</h1>","
		Up Tilt
		","
		7
		","
		-10
		","
		7—14
		"
3,"<h1 class=""charactername"">
pichu
</h1>","
		Down Tilt
		","
		7
		","
		-4
		","
		7—8
		"
4,"<h1 class=""charactername"">
pichu
</h1>","
		Dash Attack
		","
		6
		","
		-20
		","
		6—9/10—15
		"
5,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Smash
		","
		16/19/22/25/28/31
		","
		-16
		","
		16—18/19—21/22—24/25—27/28—30/31—33
		"
6,"<h1 class=""charactername"">
pichu
</h1>","
		Up Smash
		","
		9
		","
		-21
		","
		9—11
		"
7,"<h1 class=""charactername"">
pichu
</h1>","
		Down Smash
		","
		8/11/15/19/23
		","
		-21
		","
		8—9/11—12/15—16/19—20/23—24
		"
8,"<h1 class=""charactername"">
pichu
</h1>","
		Neutral Air
		","
		3
		","
		-4/-4
		","
		3—9/10—27
		"
9,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Air
		","
		10/14/18/22
		","
		-10/-10
		","
		10—12/14—16/18—20/22—23
		"
10,"<h1 class=""charactername"">
pichu
</h1>","
		Back Air
		","
		5/11/15/19/26/30
		","
		-16/-16
		","
		5—6/11—12/15—16/19—20/26—27/30—31
		"
11,"<h1 class=""charactername"">
pichu
</h1>","
		Up Air
		","
		4
		","
		-8
		","
		4—9
		"
12,"<h1 class=""charactername"">
pichu
</h1>","
		Down Air
		","
		14
		","
		-16
		","
		14—17/18—26/1—2
		"
13,"<h1 class=""charactername"">
pichu
</h1>","
		Neutral B (Thunderjolt)
		","
		18
		","
		-29/-30
		","
		18—47/48—77/78—101
		"
14,"<h1 class=""charactername"">
pichu
</h1>","
		Side B (Skull Bash)
		","
		17
		","
		-20 to +3
		","
		17—52 (4—39 on charge release)
		"
15,"<h1 class=""charactername"">
pichu
</h1>","
		Up B (Agility)
		","
		**
		","
		--
		","
		(No Hitbox)
		"
16,"<h1 class=""charactername"">
pichu
</h1>","
		Down B (Thunder)
		","
		9/26
		","
		-27
		","
		9/26
		"
17,"<h1 class=""charactername"">
pichu
</h1>","
		Grab
		","
		6
		","
		-27
		","
		6—7
		"
18,"<h1 class=""charactername"">
pichu
</h1>","
		Dash Grab
		","
		8
		","
		-27
		","
		8—9
		"
19,"<h1 class=""charactername"">
pichu
</h1>","
		Pivot Grab
		","
		9
		","
		-27
		","
		9—10
		"
20,"<h1 class=""charactername"">
pichu
</h1>","
		Pummel
		","
		1
		","
		-27
		","
		9—10
		"
21,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Throw
		","
		11/15/19/23/27
		","
		-27
		","
		9—10
		"
22,"<h1 class=""charactername"">
pichu
</h1>","
		Backward Throw
		","
		26
		","
		-27
		","
		9—10
		"
23,"<h1 class=""charactername"">
pichu
</h1>","
		Up Throw
		","
		14/15
		","
		-27
		","
		9—10
		"
24,"<h1 class=""charactername"">
pichu
</h1>","
		Down Throw
		","
		14/19
		","
		-27
		","
		9—10
		"
25,"<h1 class=""charactername"">
pichu
</h1>","
		Spot Dodge
		","
		14/19
		","
		-27
		","
		9—10
		"
26,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Roll
		","
		14/19
		","
		-27
		","
		9—10
		"
27,"<h1 class=""charactername"">
pichu
</h1>","
		Backward Roll
		","
		14/19
		","
		-27
		","
		9—10
		"
28,"<h1 class=""charactername"">
pichu
</h1>","
		Neutral Air Dodge
		","
		14/19
		","
		-27
		","
		9—10
		"
29,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Down
		","
		14/19
		","
		-27
		","
		9—10
		"
30,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Diagonally Down
		","
		14/19
		","
		-27
		","
		9—10
		"
31,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Left/Right
		","
		14/19
		","
		-27
		","
		9—10
		"
32,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Diagonally Up
		","
		14/19
		","
		-27
		","
		9—10
		"
33,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Up
		","
		14/19
		","
		-27
		","
		9—10
		"
34,"<h1 class=""charactername"">
pichu
</h1>","
			Ledge Grab
		","
		14/19
		","
		-27
		","
		9—10
		"
35,"<h1 class=""charactername"">
pichu
</h1>","
			Ledge Grab
		","
		14/19
		","
		-27
		","
		9—10
		"
36,"<h1 class=""charactername"">
pichu
</h1>","
				Ledge Hang
			","
		14/19
		","
		-27
		","
		9—10
		"
