,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
piranha plant
</h1>","
		Jab 1
		","
		2
		","
		-13
		","
		2—3
		"
1,"<h1 class=""charactername"">
piranha plant
</h1>","
		Jab 2
		","
		2
		","
		-15
		","
		2—3
		"
2,"<h1 class=""charactername"">
piranha plant
</h1>","
		Jab 3
		","
		7
		","
		-13
		","
		7—8
		"
3,"<h1 class=""charactername"">
piranha plant
</h1>","
		Rapid Jab
		","
		6/10/14...
		","
		**
		","
		6/10/14...
		"
4,"<h1 class=""charactername"">
piranha plant
</h1>","
		Rapid Jab Finisher
		","
		7
		","
		-29
		","
		6—7
		"
5,"<h1 class=""charactername"">
piranha plant
</h1>","
		Forward Tilt 1
		","
		7
		","
		-14
		","
		7—8
		"
6,"<h1 class=""charactername"">
piranha plant
</h1>","
		Forward Tilt 2
		","
		5
		","
		-20
		","
		5—6
		"
7,"<h1 class=""charactername"">
piranha plant
</h1>","
		Up Tilt
		","
		6
		","
		-11/-13
		","
		6—13
		"
8,"<h1 class=""charactername"">
piranha plant
</h1>","
		Down Tilt
		","
		9
		","
		-12/-12
		","
		9—10
		"
9,"<h1 class=""charactername"">
piranha plant
</h1>","
		Dash Attack
		","
		7
		","
		-28
		","
		7—9/10—14
		"
10,"<h1 class=""charactername"">
piranha plant
</h1>","
		Forward Smash
		","
		16
		","
		-25/-22
		","
		16—17
		"
11,"<h1 class=""charactername"">
piranha plant
</h1>","
		Up Smash
		","
		12/16
		","
		-27
		","
		12—15/16—18
		"
12,"<h1 class=""charactername"">
piranha plant
</h1>","
		Down Smash
		","
		10/14
		","
		-24
		","
		10—11/14—15
		"
13,"<h1 class=""charactername"">
piranha plant
</h1>","
		Neutral Air
		","
		8/11/14/17/18
		","
		-13/-13
		","
		8—17/18—19
		"
14,"<h1 class=""charactername"">
piranha plant
</h1>","
		Forward Air
		","
		7
		","
		-9/-9
		","
		7—9
		"
15,"<h1 class=""charactername"">
piranha plant
</h1>","
		Back Air
		","
		14
		","
		-11
		","
		14—15
		"
16,"<h1 class=""charactername"">
piranha plant
</h1>","
		Up Air
		","
		7
		","
		-6
		","
		7—9
		"
17,"<h1 class=""charactername"">
piranha plant
</h1>","
		Down Air
		","
		9
		","
		-14/-14
		","
		9—10/11—14
		"
18,"<h1 class=""charactername"">
piranha plant
</h1>","
		Neutral B (Ptooie)
		","
		9
		","
		+6/-3
		","
		9...
		"
