,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Jab 1
		","
		4
		","
		-14
		","
		4—5
		"
1,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Jab 2
		","
		5
		","
		-16
		","
		5—6
		"
2,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Jab 3
		","
		7
		","
		-20
		","
		7—8
		"
3,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Forward Tilt
		","
		12
		","
		-18/-15
		","
		12—13
		"
4,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Up Tilt
		","
		9
		","
		-16
		","
		9—12
		"
5,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Down Tilt
		","
		9
		","
		-11
		","
		9—10
		"
6,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Dash Attack
		","
		10
		","
		-12
		","
		10—12/13—20
		"
7,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Forward Smash
		","
		22
		","
		-36/-37
		","
		22/23—24
		"
8,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Up Smash
		","
		6/14
		","
		-24
		","
		(6/7—9) / 14—19
		"
9,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Down Smash
		","
		14
		","
		-35
		","
		14—16
		"
10,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Neutral Air
		","
		8
		","
		-6/-5
		","
		8—20
		"
11,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Forward Air
		","
		8
		","
		-14/-14
		","
		8—9/10—12
		"
12,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Back Air
		","
		14
		","
		-16/-15/-14
		","
		14/15—16
		"
13,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Up Air
		","
		12
		","
		-8
		","
		12—15
		"
