,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
richter
</h1>","
		Jab 1
		","
		5
		","
		-21
		","
		5
		"
1,"<h1 class=""charactername"">
richter
</h1>","
		Jab 2
		","
		3
		","
		-23
		","
		3—4
		"
2,"<h1 class=""charactername"">
richter
</h1>","
		Rapid Jab
		","
		9/12/15...
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
richter
</h1>","
		Rapid Jab Finisher
		","
		3
		","
		-37
		","
		**
		"
4,"<h1 class=""charactername"">
richter
</h1>","
		Whip Dangle
		","
		--
		","
		**
		","
		**
		"
5,"<h1 class=""charactername"">
richter
</h1>","
		Forward Tilt
		","
		12
		","
		-8/-7
		","
		12—13
		"
6,"<h1 class=""charactername"">
richter
</h1>","
		Up Tilt
		","
		10
		","
		-17
		","
		10—22
		"
7,"<h1 class=""charactername"">
richter
</h1>","
		Down Tilt 1
		","
		7
		","
		-31
		","
		7—23
		"
8,"<h1 class=""charactername"">
richter
</h1>","
		Down Tilt 2
		","
		8
		","
		-42/-28
		","
		8—28
		"
9,"<h1 class=""charactername"">
richter
</h1>","
		Dash Attack
		","
		10/13/16/19/22/24
		","
		-26
		","
		10/13/16/19/22/24
		"
10,"<h1 class=""charactername"">
richter
</h1>","
		Forward Smash
		","
		24
		","
		-28/-26
		","
		24—25
		"
11,"<h1 class=""charactername"">
richter
</h1>","
		Up Smash
		","
		18
		","
		-27/-26
		","
		18—20
		"
12,"<h1 class=""charactername"">
richter
</h1>","
		Down Smash
		","
		14/20
		","
		-33/-30/-27/-24
		","
		14—15/20—21
		"
13,"<h1 class=""charactername"">
richter
</h1>","
		Neutral Air
		","
		8...
		","
		-12/-11
		","
		8—9/11—12/14—15/17—18/20—21/23—24/26—27
		"
14,"<h1 class=""charactername"">
richter
</h1>","
		Forward Air
		","
		14
		","
		-6/-5/-8
		","
		14
		"
15,"<h1 class=""charactername"">
richter
</h1>","
		Back Air
		","
		14
		","
		-6/-5/-8
		","
		14—15
		"
16,"<h1 class=""charactername"">
richter
</h1>","
		Up Air
		","
		14
		","
		-6/-5/-8
		","
		14—16
		"
17,"<h1 class=""charactername"">
richter
</h1>","
		Down Air
		","
		13
		","
		-21/-23
		","
		13—14/15—36
		"
18,"<h1 class=""charactername"">
richter
</h1>","
		Neutral B (Axe)
		","
		30
		","
		-6
		","
		30—97
		"
19,"<h1 class=""charactername"">
richter
</h1>","
		Side B (Cross)
		","
		19
		","
		-15
		","
		19—64
		"
20,"<h1 class=""charactername"">
richter
</h1>","
		Up B (Uppercut)
		","
		6/9/...
		","
		**
		","
		6/9—20/21 (rehit: 3)
		"
21,"<h1 class=""charactername"">
richter
</h1>","
		Down B (Holy Water)
		","
		18
		","
		**
		","
		18...
		"
22,"<h1 class=""charactername"">
richter
</h1>","
		Holy Water Explosion
		","
		1/4/7/15/23/31/39/47/55
		","
		**
		","
		1/4/7/15/23/31/39/47/55
		"
23,"<h1 class=""charactername"">
richter
</h1>","
		Grab
		","
		10
		","
		**
		","
		10—11
		"
24,"<h1 class=""charactername"">
richter
</h1>","
		Dash Grab
		","
		13
		","
		**
		","
		13—14
		"
25,"<h1 class=""charactername"">
richter
</h1>","
		Pivot Grab
		","
		14
		","
		**
		","
		14—15
		"
26,"<h1 class=""charactername"">
richter
</h1>","
		Pummel
		","
		1
		","
		**
		","
		14—15
		"
27,"<h1 class=""charactername"">
richter
</h1>","
		Forward Throw
		","
		24
		","
		**
		","
		14—15
		"
28,"<h1 class=""charactername"">
richter
</h1>","
		Backward Throw
		","
		18
		","
		**
		","
		14—15
		"
29,"<h1 class=""charactername"">
richter
</h1>","
		Up Throw
		","
		25/26
		","
		**
		","
		14—15
		"
30,"<h1 class=""charactername"">
richter
</h1>","
		Down Throw
		","
		33
		","
		**
		","
		14—15
		"
31,"<h1 class=""charactername"">
richter
</h1>","
		Spot Dodge
		","
		33
		","
		**
		","
		14—15
		"
32,"<h1 class=""charactername"">
richter
</h1>","
		Forward Roll
		","
		33
		","
		**
		","
		14—15
		"
33,"<h1 class=""charactername"">
richter
</h1>","
		Backward Roll
		","
		33
		","
		**
		","
		14—15
		"
34,"<h1 class=""charactername"">
richter
</h1>","
		Neutral Air Dodge
		","
		33
		","
		**
		","
		14—15
		"
35,"<h1 class=""charactername"">
richter
</h1>","
		Air Dodge, Down
		","
		33
		","
		**
		","
		14—15
		"
36,"<h1 class=""charactername"">
richter
</h1>","
		Air Dodge, Diagonally Down
		","
		33
		","
		**
		","
		14—15
		"
37,"<h1 class=""charactername"">
richter
</h1>","
		Air Dodge, Left/Right
		","
		33
		","
		**
		","
		14—15
		"
38,"<h1 class=""charactername"">
richter
</h1>","
		Air Dodge, Diagonally Up
		","
		33
		","
		**
		","
		14—15
		"
39,"<h1 class=""charactername"">
richter
</h1>","
		Air Dodge, Up
		","
		33
		","
		**
		","
		14—15
		"
40,"<h1 class=""charactername"">
richter
</h1>","
			Ledge Grab
		","
		33
		","
		**
		","
		14—15
		"
41,"<h1 class=""charactername"">
richter
</h1>","
			Ledge Grab
		","
		33
		","
		**
		","
		14—15
		"
42,"<h1 class=""charactername"">
richter
</h1>","
				Ledge Hang
			","
		33
		","
		**
		","
		14—15
		"
