,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,3,20,-13,3—4
1,Jab 2,3,20,-13,3—4
2,Forward Tilt,7,33,-18,7—9
3,Up Tilt,4/6,26,-14,4—5/6—7
4,Down Tilt,3,14,-5,3
5,Dash Attack,7,31,-17,7—8
6,Forward Smash,16,54,-28/-30/-33,16—17
7,Up Smash,10/14,48,-35/-24,10—11/14—18
8,Down Smash,7/11/16,45,-25,7—8/11—12/16
9,Neutral Air,14,47,-4/-3,14—32
10,Forward Air,6,35,-6,6—8
11,Back Air,19,52,-8/-9,19—23/24—32
12,Up Air,7/9/13/17/23,51,-11/-10,7/9/13/17/23—24
13,Down Air,20,69,-44/-45/-46,20—21/20—26/22—26
14,Neutral B (Robo Beam),25,49,"-17/-16/-17, -17/-6/-10","25—27 (melee), 25—43 (small beam), 25—66 (large beam)"
15,Side B (Arm Rotor),13/18/23/28/33/44,85,-37,13—**
16,"Side B (Arm Rotor, Mashing)",13/18/23/28/33/38/ 43/48/53/58/66,107,-37,--
17,Up B (Robo Burner),--,--,--,--
18,Down B (Gyro),"3(+6), 9","36, 42","-26 to -21, -21",--
19,Grab,6,37,"-26 to -21, -21",6—7
20,Dash Grab,9,45,"-26 to -21, -21",9—10
21,Pivot Grab,10,40,"-26 to -21, -21",10—11
22,Pummel,1,18,"-26 to -21, -21",10—11
23,Forward Throw,11,23,"-26 to -21, -21",10—11
24,Backward Throw,12,26,"-26 to -21, -21",10—11
25,Up Throw,58,81,"-26 to -21, -21",10—11
26,Down Throw,50,75,"-26 to -21, -21",10—11
27,Spot Dodge,50,20/25,"-26 to -21, -21",10—11
28,Forward Roll,50,29,"-26 to -21, -21",10—11
29,Backward Roll,50,34,"-26 to -21, -21",10—11
30,Neutral Air Dodge,50,50,"-26 to -21, -21",10—11
31,"Air Dodge, Down",50,68,"-26 to -21, -21",10—11
32,"Air Dodge, Diagonally Down",50,75,"-26 to -21, -21",10—11
33,"Air Dodge, Left/Right",50,83,"-26 to -21, -21",10—11
34,"Air Dodge, Diagonally Up",50,100,"-26 to -21, -21",10—11
35,"Air Dodge, Up",50,111,"-26 to -21, -21",10—11
36,Ledge Grab,50,111,"-26 to -21, -21",10—11
37,Ledge Grab,50,111,"-26 to -21, -21",10—11
38,Ledge Hang,50,111,"-26 to -21, -21",10—11
