,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
robin
</h1>","
				Ledge Hang
			","
		16/24/32/34
		","
		-11
		","
		15—36
		"
1,"<h1 class=""charactername"">
robin
</h1>","
		Jab 1
		","
		4
		","
		-24
		","
		4—5
		"
2,"<h1 class=""charactername"">
robin
</h1>","
		Jab 2
		","
		5
		","
		-26
		","
		5—6
		"
3,"<h1 class=""charactername"">
robin
</h1>","
		Jab 3
		","
		6
		","
		-23
		","
		6—7
		"
4,"<h1 class=""charactername"">
robin
</h1>","
		Rapid Jab
		","
		4/6/8...
		","
		--
		","
		**
		"
5,"<h1 class=""charactername"">
robin
</h1>","
		Rapid Jab Finisher
		","
		5
		","
		-39
		","
		5—6
		"
6,"<h1 class=""charactername"">
robin
</h1>","
		Forward Tilt
		","
		9
		","
		-15
		","
		9—10
		"
7,"<h1 class=""charactername"">
robin
</h1>","
		Up Tilt
		","
		6
		","
		-15
		","
		6—14
		"
8,"<h1 class=""charactername"">
robin
</h1>","
		Down Tilt
		","
		7
		","
		-8
		","
		7—8
		"
9,"<h1 class=""charactername"">
robin
</h1>","
		Dash Attack
		","
		8
		","
		-23
		","
		8—10(11—18)
		"
10,"<h1 class=""charactername"">
robin
</h1>","
		Forward Smash
		","
		16
		","
		-30/-34
		","
		16—18(19—27)
		"
11,"<h1 class=""charactername"">
robin
</h1>","
		Up Smash
		","
		12
		","
		-33/-30/-33
		","
		12(13—16/17—32)
		"
12,"<h1 class=""charactername"">
robin
</h1>","
		Down Smash
		","
		16
		","
		-28/-34
		","
		16—17(19—22/23—28)
		"
13,"<h1 class=""charactername"">
robin
</h1>","
		Neutral Air
		","
		7/20
		","
		-6/-8
		","
		7—10/20—23/24—28
		"
14,"<h1 class=""charactername"">
robin
</h1>","
		Forward Air
		","
		12
		","
		-6/-8
		","
		12—15(16—19)
		"
15,"<h1 class=""charactername"">
robin
</h1>","
		Back Air
		","
		9
		","
		-6/-8/-7
		","
		9—10(11—16)
		"
16,"<h1 class=""charactername"">
robin
</h1>","
		Up Air
		","
		10
		","
		-6/-8/-7
		","
		10—13(14—23)
		"
17,"<h1 class=""charactername"">
robin
</h1>","
		Down Air
		","
		13
		","
		-7/-7/-8/-8
		","
		13—15(16—17/18—24)
		"
18,"<h1 class=""charactername"">
robin
</h1>","
		Neutral B (Thunder/Elthunder/Arcthunder)
		","
		8/8/8
		","
		-12/-13
		","
		8—22 / 8—49 / 8—79
		"
19,"<h1 class=""charactername"">
robin
</h1>","
		Arcthunder (Vortex)
		","
		1...
		","
		+0
		","
		1—16(rehit: 4)/17
		"
20,"<h1 class=""charactername"">
robin
</h1>","
		Thoron
		","
		23/27/31/35/39/43/47
		","
		-20
		","
		**
		"
21,"<h1 class=""charactername"">
robin
</h1>","
		Side B (Arcfire)
		","
		17
		","
		+13
		","
		17—61
		"
22,"<h1 class=""charactername"">
robin
</h1>","
		Up B (Elwind)
		","
		8/28
		","
		--
		","
		8(9—12/13—31) / 28—32(33—55)
		"
23,"<h1 class=""charactername"">
robin
</h1>","
		Down B (Nosferatu)
		","
		15
		","
		**
		","
		15—18
		"
24,"<h1 class=""charactername"">
robin
</h1>","
		Thrown Items
		","
		--
		","
		--
		","
		--
		"
25,"<h1 class=""charactername"">
robin
</h1>","
		Grab
		","
		7
		","
		--
		","
		7—8
		"
26,"<h1 class=""charactername"">
robin
</h1>","
		Dash Grab
		","
		10
		","
		--
		","
		10—11
		"
27,"<h1 class=""charactername"">
robin
</h1>","
		Pivot Grab
		","
		11
		","
		--
		","
		11—12
		"
28,"<h1 class=""charactername"">
robin
</h1>","
		Pummel
		","
		1
		","
		--
		","
		11—12
		"
29,"<h1 class=""charactername"">
robin
</h1>","
		Forward Throw
		","
		16
		","
		--
		","
		11—12
		"
30,"<h1 class=""charactername"">
robin
</h1>","
		Backward Throw
		","
		25
		","
		--
		","
		11—12
		"
31,"<h1 class=""charactername"">
robin
</h1>","
		Up Throw
		","
		15
		","
		--
		","
		11—12
		"
32,"<h1 class=""charactername"">
robin
</h1>","
		Down Throw
		","
		16
		","
		--
		","
		11—12
		"
33,"<h1 class=""charactername"">
robin
</h1>","
		Spot Dodge
		","
		16
		","
		--
		","
		11—12
		"
34,"<h1 class=""charactername"">
robin
</h1>","
		Forward Roll
		","
		16
		","
		--
		","
		11—12
		"
35,"<h1 class=""charactername"">
robin
</h1>","
		Backward Roll
		","
		16
		","
		--
		","
		11—12
		"
36,"<h1 class=""charactername"">
robin
</h1>","
		Neutral Air Dodge
		","
		16
		","
		--
		","
		11—12
		"
37,"<h1 class=""charactername"">
robin
</h1>","
		Air Dodge, Down
		","
		16
		","
		--
		","
		11—12
		"
38,"<h1 class=""charactername"">
robin
</h1>","
		Air Dodge, Diagonally Down
		","
		16
		","
		--
		","
		11—12
		"
39,"<h1 class=""charactername"">
robin
</h1>","
		Air Dodge, Left/Right
		","
		16
		","
		--
		","
		11—12
		"
40,"<h1 class=""charactername"">
robin
</h1>","
		Air Dodge, Diagonally Up
		","
		16
		","
		--
		","
		11—12
		"
41,"<h1 class=""charactername"">
robin
</h1>","
		Air Dodge, Up
		","
		16
		","
		--
		","
		11—12
		"
42,"<h1 class=""charactername"">
robin
</h1>","
			Ledge Grab
		","
		16
		","
		--
		","
		11—12
		"
43,"<h1 class=""charactername"">
robin
</h1>","
			Ledge Grab
		","
		16
		","
		--
		","
		11—12
		"
44,"<h1 class=""charactername"">
robin
</h1>","
				Ledge Hang
			","
		16
		","
		--
		","
		11—12
		"
