,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
rosalina and luma
</h1>","
				Ledge Hang
			","
		24
		","
		--
		","
		10—11
		"
1,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 1
		","
		5
		","
		-12
		","
		5
		"
2,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 1 (Luma)
		","
		4
		","
		**
		","
		4
		"
3,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 2
		","
		6
		","
		-15
		","
		6—7
		"
4,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 2 (Luma)
		","
		6
		","
		**
		","
		6
		"
5,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 3
		","
		7
		","
		-24
		","
		7—8
		"
6,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 3 (Luma)
		","
		7
		","
		**
		","
		7—8
		"
7,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Rapid Jab
		","
		2/5/8/11...
		","
		--
		","
		2/5/8/11...
		"
8,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Rapid Jab (Luma)
		","
		3/6/9/12...
		","
		--
		","
		3/6/9/12...
		"
9,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Rapid Jab Finisher
		","
		5
		","
		-29
		","
		6—7
		"
10,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Rapid Jab Finisher (Luma)
		","
		5
		","
		**
		","
		6—7
		"
11,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Forward Tilt
		","
		7
		","
		-22
		","
		7—9
		"
12,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Forward Tilt (Luma)
		","
		8
		","
		**
		","
		8—10
		"
13,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Up Tilt
		","
		7
		","
		-23
		","
		7—10/11—17
		"
14,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Up Tilt (Luma)
		","
		3
		","
		**
		","
		3/4—5/6—10
		"
15,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Down Tilt
		","
		5
		","
		-21
		","
		5—8
		"
16,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Down Tilt (Luma)
		","
		8
		","
		**
		","
		8—13
		"
17,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Dash Attack
		","
		6/17
		","
		-18
		","
		6—9/17—19
		"
18,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Dash Attack (Luma)
		","
		6
		","
		**
		","
		6—8
		"
19,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Forward Smash
		","
		16
		","
		-26
		","
		16—18
		"
20,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Forward Smash (Luma)
		","
		17
		","
		**
		","
		17—18
		"
21,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Up Smash
		","
		8
		","
		-31
		","
		8—16
		"
22,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Up Smash (Luma)
		","
		10
		","
		**
		","
		10—12/13—17
		"
23,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Down Smash
		","
		6/17
		","
		-29/-17
		","
		6—7/17—18
		"
24,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Down Smash (Luma)
		","
		7/19
		","
		**
		","
		7—8/19—20
		"
25,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Neutral Air
		","
		9
		","
		-4/-5
		","
		9/10—19/20—31/32/33
		"
26,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Neutral Air (Luma)
		","
		7/13
		","
		**
		","
		7—9/13—15
		"
27,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Forward Air
		","
		10/13/16/19/22
		","
		-14/-13
		","
		10—20(rehit rate: 3)/22
		"
28,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Forward Air (Luma)
		","
		11
		","
		**
		","
		11—13
		"
