,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,2,17,-12,2
1,Jab 2,3,17,-11,3
2,Rapid Jab,5/4/9...,--,--,**
3,Rapid Jab Finisher,5,35,-27,5—6
4,Forward Tilt,5,24,-15,5—8
5,Up Tilt,5/16,32,-11,5—8/16—23
6,Down Tilt,5,26,-16,5—6
7,Dash Attack,5,34,-19,5—6(7—8)
8,Forward Smash,12/20,44,-18,12/20—21
9,Up Smash,11/14,52,-30,11/14—15
10,Down Smash,8/15,48,-28,8—9/15—16
11,Neutral Air,3,49,-3/-3,3—6(7—30)
12,Forward Air,5,34,-2/-2,5—7
13,Back Air,4,37,-4/-4,4—6(7—14)
14,Up Air,4...,43,-11/-10,4—15/23—24 (rehit: 4)
15,Down Air,15,54,-18,15—18/19—33/1—2
16,Neutral B (Needle Storm),4/7/10/13/16 (+7),41/35,-18,**
17,"Needle Storm, Full Charge",11/14/17/20/23/26,48/42,-15,**
18,Side B (Burst Grenade),13/67/70/73/76/79/82/88,75—104,+28,**
19,Up B (Vanish),36/55,95,-33,36—38/55—57
20,Down B (Bouncing Fish),18/26,63/50/45,-39,**
21,Grab,6,36,-39,6—7
22,Dash Grab,9,44,-39,9—10
23,Pivot Grab,11,39,-39,11—12
24,Pummel,1,15,-39,11—12
25,Forward Throw,20/22,39,-39,11—12
26,Backward Throw,15/17,35,-39,11—12
27,Up Throw,19/21,49,-39,11—12
28,Down Throw,26/30,40,-39,11—12
29,Spot Dodge,26/30,18/23,-39,11—12
30,Forward Roll,26/30,26,-39,11—12
31,Backward Roll,26/30,32,-39,11—12
32,Neutral Air Dodge,26/30,44,-39,11—12
33,"Air Dodge, Down",26/30,63,-39,11—12
34,"Air Dodge, Diagonally Down",26/30,67,-39,11—12
35,"Air Dodge, Left/Right",26/30,74,-39,11—12
36,"Air Dodge, Diagonally Up",26/30,85,-39,11—12
37,"Air Dodge, Up",26/30,93,-39,11—12
38,Ledge Grab,26/30,93,-39,11—12
39,Ledge Grab,26/30,93,-39,11—12
40,Ledge Hang,26/30,93,-39,11—12
