,Move name,Start up,Total frame,Advantage,Active frames
0,Ledge Hang,16,114,--,11—12
1,Jab 1,5,25,-17,5
2,Jab 2,5,33,-25,5
3,Jab 3,6,44,-32,6—7/8
4,Forward Tilt,12,43,-19/-20,12—13
5,Up Tilt,11,39,-18/-19,11—12/13—23
6,Down Tilt,10,31,-12/-13,10—11
7,Dash Attack,12,40,-16/-18,12—13
8,Forward Smash,14/23,67,-35/-36,14—15/23 (Angled: 14—16/23)
9,Up Smash,18/30,67,-28,(18—21/22—29)/(30—33)
10,Down Smash,18/23/28/35/41,82,-/-56/-51/-52/-47/-48/-41/-42/-36/-37,18—19/23—24/28—29/35—36/41—42
11,Neutral Air,13,59,-2/-3,13—30
12,Forward Air,14,41,-6/-7,14—18
13,Back Air,19,54,-6/-7,19—21
14,Up Air,14/24,54,-6/-5/-5,14—16/24—26
15,Down Air,14/23,60,-11/-9/-10,14—15/23—25
16,Neutral B (Monado Arts),--,9,--,**
17,Side B (Back Slash),22,71,-29/-30/-25/-27,22—23
18,Up B (Air Slash),10,--,**,10—11/12—14/15—17
19,Air Slash 2,9,--,**,9—10
20,Down B (Vision),7 (Start of Counter),69,--,**
21,Grab,7,36,--,7—8
22,Dash Grab,10,44,--,10—11
23,Pivot Grab,11,39,--,11—12
24,Pummel,1,15,--,11—12
25,Forward Throw,15/16,37,--,11—12
26,Backward Throw,18/20,45,--,11—12
27,Up Throw,20/22,47,--,11—12
28,Down Throw,23/25,43,--,11—12
29,Spot Dodge,23/25,20/25,--,11—12
30,Forward Roll,23/25,29,--,11—12
31,Backward Roll,23/25,34,--,11—12
32,Neutral Air Dodge,23/25,49,--,11—12
33,"Air Dodge, Down",23/25,68,--,11—12
34,"Air Dodge, Diagonally Down",23/25,77,--,11—12
35,"Air Dodge, Left/Right",23/25,83,--,11—12
36,"Air Dodge, Diagonally Up",23/25,95,--,11—12
37,"Air Dodge, Up",23/25,107,--,11—12
38,Ledge Grab,23/25,107,--,11—12
39,Ledge Grab,23/25,107,--,11—12
40,Ledge Hang,23/25,107,--,11—12
