,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
sonic
</h1>","
		Jab 1
		","
		3
		","
		-13
		","
		3
		"
1,"<h1 class=""charactername"">
sonic
</h1>","
		Jab 2
		","
		2
		","
		-16
		","
		2
		"
2,"<h1 class=""charactername"">
sonic
</h1>","
		Jab 3
		","
		4
		","
		-26
		","
		4—5
		"
3,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Tilt
		","
		6/8
		","
		-20
		","
		6/8—11
		"
4,"<h1 class=""charactername"">
sonic
</h1>","
		Up Tilt
		","
		6(7)/13
		","
		-20
		","
		6—8(7—8)/13—14
		"
5,"<h1 class=""charactername"">
sonic
</h1>","
		Down Tilt
		","
		6
		","
		-15
		","
		6—7
		"
6,"<h1 class=""charactername"">
sonic
</h1>","
		Dash Attack
		","
		5
		","
		-38
		","
		5—8(9—20)
		"
7,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Smash
		","
		18
		","
		-19
		","
		18—20
		"
8,"<h1 class=""charactername"">
sonic
</h1>","
		Up Smash
		","
		18/21/23/25/27/29/31/33
		","
		-29
		","
		18/21/23/25/27/29/31/33—34
		"
9,"<h1 class=""charactername"">
sonic
</h1>","
		Down Smash
		","
		12
		","
		-34
		","
		12—13
		"
10,"<h1 class=""charactername"">
sonic
</h1>","
		Neutral Air
		","
		6
		","
		-5/-6/-7
		","
		6—9(10—19/20—38)
		"
11,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Air
		","
		5/7/9/11/13/15
		","
		-14/-14
		","
		5/7/9/11/13/15
		"
12,"<h1 class=""charactername"">
sonic
</h1>","
		Back Air
		","
		13
		","
		-10/-11
		","
		13—14(15—19)
		"
13,"<h1 class=""charactername"">
sonic
</h1>","
		Up Air
		","
		5/14
		","
		-11/-9
		","
		5—7/14—15
		"
14,"<h1 class=""charactername"">
sonic
</h1>","
		Down Air
		","
		17
		","
		-17/-18
		","
		17—19/20—32
		"
15,"<h1 class=""charactername"">
sonic
</h1>","
		Neutral B (Homing Attack)
		","
		17—82
		","
		-22 to -16
		","
		**
		"
16,"<h1 class=""charactername"">
sonic
</h1>","
		Side B (Spin Dash)
		","
		17/29
		","
		-22 to -18
		","
		**
		"
17,"<h1 class=""charactername"">
sonic
</h1>","
		Up B (Spring Jump)
		","
		4
		","
		-7
		","
		**
		"
18,"<h1 class=""charactername"">
sonic
</h1>","
		Down B (Spin Charge)
		","
		15/17/19/21
		","
		-33
		","
		**
		"
19,"<h1 class=""charactername"">
sonic
</h1>","
		Spin Dash/Spin Charge, Jump
		","
		3
		","
		-1
		","
		**
		"
20,"<h1 class=""charactername"">
sonic
</h1>","
		Grab
		","
		7
		","
		-1
		","
		7—8
		"
21,"<h1 class=""charactername"">
sonic
</h1>","
		Dash Grab
		","
		10
		","
		-1
		","
		10—11
		"
22,"<h1 class=""charactername"">
sonic
</h1>","
		Pivot Grab
		","
		11
		","
		-1
		","
		11—12
		"
23,"<h1 class=""charactername"">
sonic
</h1>","
		Pummel
		","
		1
		","
		-1
		","
		11—12
		"
24,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Throw
		","
		10/11
		","
		-1
		","
		11—12
		"
25,"<h1 class=""charactername"">
sonic
</h1>","
		Backward Throw
		","
		43
		","
		-1
		","
		11—12
		"
26,"<h1 class=""charactername"">
sonic
</h1>","
		Up Throw
		","
		22/23
		","
		-1
		","
		11—12
		"
27,"<h1 class=""charactername"">
sonic
</h1>","
		Down Throw
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
28,"<h1 class=""charactername"">
sonic
</h1>","
		Spot Dodge
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
29,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Roll
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
30,"<h1 class=""charactername"">
sonic
</h1>","
		Backward Roll
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
31,"<h1 class=""charactername"">
sonic
</h1>","
		Neutral Air Dodge
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
32,"<h1 class=""charactername"">
sonic
</h1>","
		Air Dodge, Down
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
33,"<h1 class=""charactername"">
sonic
</h1>","
		Air Dodge, Diagonally Down
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
34,"<h1 class=""charactername"">
sonic
</h1>","
		Air Dodge, Left/Right
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
35,"<h1 class=""charactername"">
sonic
</h1>","
		Air Dodge, Diagonally Up
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
36,"<h1 class=""charactername"">
sonic
</h1>","
		Air Dodge, Up
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
37,"<h1 class=""charactername"">
sonic
</h1>","
			Ledge Grab
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
38,"<h1 class=""charactername"">
sonic
</h1>","
			Ledge Grab
		","
		18/26/34/42
		","
		-1
		","
		11—12
		"
39,"<h1 class=""charactername"">
sonic
</h1>","
				Ledge Hang
			","
		18/26/34/42
		","
		-1
		","
		11—12
		"
