,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
terry
</h1>","
		Jab 1
		","
		3
		","
		-6
		","
		3—4
		"
1,"<h1 class=""charactername"">
terry
</h1>","
		Jab 2
		","
		3/4
		","
		-19/-17
		","
		3/4—7
		"
2,"<h1 class=""charactername"">
terry
</h1>","
		Jab 3
		","
		7
		","
		-19
		","
		7—10
		"
3,"<h1 class=""charactername"">
terry
</h1>","
		Forward Tilt
		","
		8
		","
		-8/-7
		","
		8—13
		"
4,"<h1 class=""charactername"">
terry
</h1>","
		Up Tilt
		","
		7
		","
		-12
		","
		7—11
		"
5,"<h1 class=""charactername"">
terry
</h1>","
		Down Tilt
		","
		6
		","
		-6
		","
		6—9
		"
6,"<h1 class=""charactername"">
terry
</h1>","
		Dash Attack
		","
		10
		","
		-18/-15
		","
		10—14(15—22)
		"
7,"<h1 class=""charactername"">
terry
</h1>","
		Forward Smash
		","
		18
		","
		-20
		","
		18—21
		"
8,"<h1 class=""charactername"">
terry
</h1>","
		Up Smash
		","
		10
		","
		-20 / -18
		","
		10(11—14)
		"
9,"<h1 class=""charactername"">
terry
</h1>","
		Down Smash
		","
		8
		","
		-23
		","
		8—11
		"
10,"<h1 class=""charactername"">
terry
</h1>","
		Neutral Air
		","
		4
		","
		-4
		","
		4—8(9—19)
		"
11,"<h1 class=""charactername"">
terry
</h1>","
		Forward Air
		","
		7
		","
		-7/-8
		","
		7—10(11—17)
		"
12,"<h1 class=""charactername"">
terry
</h1>","
		Back Air
		","
		11
		","
		-5/-6
		","
		11—13(14—15)
		"
13,"<h1 class=""charactername"">
terry
</h1>","
		Up Air
		","
		7
		","
		-3
		","
		7—9
		"
14,"<h1 class=""charactername"">
terry
</h1>","
		Down Air
		","
		12
		","
		-10
		","
		12—15
		"
15,"<h1 class=""charactername"">
terry
</h1>","
		Neutral B (Power Wave, Ground)
		","
		18 (21)
		","
		-22 (-21)
		","
		18—86 (21—66)
		"
16,"<h1 class=""charactername"">
terry
</h1>","
		Power Wave, Air
		","
		18 (18)
		","
		**
		","
		18—27 (18—24)
		"
17,"<h1 class=""charactername"">
terry
</h1>","
		Forward B (Burning Knuckle)
		","
		15/19 (21/26) | 14—17(18—26)
		","
		-28 (-34)
		","
		15—19(20—30) | 21—28(27—39) | 14—17(18—26) | 18—21(22—30)
		"
18,"<h1 class=""charactername"">
terry
</h1>","
		Burning Knuckle, Input
		","
		15/21 (21/28) | 14/19 (18/23)
		","
		-26 (-32)
		","
		15—21(22—30) | 21—28(29—39) | 14—19(20—26) | 18—23(24—30)
		"
19,"<h1 class=""charactername"">
terry
</h1>","
		Back B (Crack Shoot)
		","
		13/21
		","
		-12
		","
		13(14—20)/21(22—26)
		"
20,"<h1 class=""charactername"">
terry
</h1>","
		Up B (Rising Tackle)
		","
		10/12/15/20/25
		","
		**
		","
		10/12/15/20/25
		"
21,"<h1 class=""charactername"">
terry
</h1>","
		Rising Tackle (Charged Input)
		","
		10/12/14/16/19/21/24/29/34
		","
		**
		","
		10/12/14/16/19/21/24/29/34
		"
22,"<h1 class=""charactername"">
terry
</h1>","
		Down B (Power Dunk)
		","
		Weak: 6/9/29 | Strong: 6/9/35 
		","
		-19
		","
		6/9/11/29—30/31—41
		"
23,"<h1 class=""charactername"">
terry
</h1>","
		Power Geyser
		","
		20
		","
		-29
		","
		20—23/24—29
		"
24,"<h1 class=""charactername"">
terry
</h1>","
		Buster Wolf
		","
		14
		","
		-45
		","
		14—23/46
		"
25,"<h1 class=""charactername"">
terry
</h1>","
		Grab
		","
		6
		","
		-45
		","
		6—7
		"
26,"<h1 class=""charactername"">
terry
</h1>","
		Dash Grab
		","
		9
		","
		-45
		","
		9—10
		"
27,"<h1 class=""charactername"">
terry
</h1>","
		Pivot Grab
		","
		10
		","
		-45
		","
		10—11
		"
28,"<h1 class=""charactername"">
terry
</h1>","
		Pummel
		","
		1
		","
		-45
		","
		10—11
		"
29,"<h1 class=""charactername"">
terry
</h1>","
		Forward Throw
		","
		21
		","
		-45
		","
		10—11
		"
