,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,5,18,-10,5—6
1,Jab 2,6,20,-11,6—7
2,Jab 3,6,36,-25,6—7
3,Forward Tilt,9,29,-11,9—13
4,Up Tilt,8,25,-11,8—12
5,Down Tilt,9,22,-6,9—10
6,Dash Attack,7,28,-13,7—9
7,Forward Smash,16,48,-22,16—17
8,Up Smash,11,42,-22,11(12—13/14—15)
9,Down Smash,9/17,46,-29/-20,9—10/17—18
10,Neutral Air,6/13,41,-3/-4,6—7/13—14
11,Forward Air,14,38,-6,14—15
12,Back Air,6,35,-4,6—9
13,Up Air,11,59,-8/-9,11—13(14—40)
14,Down Air,17,79,-17/-16,17—25(26—64)/1
15,Z Air,11,73,-3,11—20
16,Neutral B (Hero's Bow),18—60,39—82,-12 to -6,18—77
17,Side B (Boomerang),27,45,-9 to -6,27—36(37—77/78—173)
18,Up B (Spin Attack),6...,77,-25,6—14/15—46/48 (rehit: 4)
19,"Up B, Air (Spin Attack, Air)",8...,--,--,8—10/12—13/16—18/19—20/22—24/27—28/31—33/35/44—48
20,Down B (Bomb Pull),--,36,--,**
21,Grab,12,52,--,12—18
22,Dash Grab,14,60,--,14—20
23,Pivot Grab,15,55,--,15—21
24,Pummel,1,16,--,15—21
25,Forward Throw,12/14,39,--,15—21
26,Backward Throw,18,45,--,15—21
27,Up Throw,27/28,49,--,15—21
28,Down Throw,22/24,49,--,15—21
29,Spot Dodge,22/24,19/24,--,15—21
30,Forward Roll,22/24,28,--,15—21
31,Backward Roll,22/24,33,--,15—21
32,Neutral Air Dodge,22/24,56,--,15—21
33,"Air Dodge, Down",22/24,76,--,15—21
34,"Air Dodge, Diagonally Down",22/24,85,--,15—21
35,"Air Dodge, Left/Right",22/24,93,--,15—21
36,"Air Dodge, Diagonally Up",22/24,111,--,15—21
37,"Air Dodge, Up",22/24,123,--,15—21
38,Ledge Grab,22/24,123,--,15—21
39,Ledge Grab,22/24,123,--,15—21
40,Ledge Hang,22/24,123,--,15—21
