,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
villager
</h1>","
		Jab 1
		","
		3
		","
		-16
		","
		3—4
		"
1,"<h1 class=""charactername"">
villager
</h1>","
		Jab 2
		","
		3
		","
		-18
		","
		3—4
		"
2,"<h1 class=""charactername"">
villager
</h1>","
		Rapid Jab
		","
		3/8/12...
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
villager
</h1>","
		Rapid Jab Finisher
		","
		7
		","
		-28
		","
		**
		"
4,"<h1 class=""charactername"">
villager
</h1>","
		Forward Tilt
		","
		8
		","
		-16
		","
		8—11
		"
5,"<h1 class=""charactername"">
villager
</h1>","
		Up Tilt
		","
		7/22
		","
		-34/-19
		","
		7—18/22—25
		"
6,"<h1 class=""charactername"">
villager
</h1>","
		Down Tilt
		","
		9
		","
		-17/-18
		","
		9—11
		"
7,"<h1 class=""charactername"">
villager
</h1>","
		Dash Attack
		","
		9...
		","
		-22
		","
		9—14(15—23)
		"
8,"<h1 class=""charactername"">
villager
</h1>","
		Forward Smash
		","
		25
		","
		-4
		","
		25—30(31—144)
		"
9,"<h1 class=""charactername"">
villager
</h1>","
		Up Smash
		","
		9/14/18/22/26/30
		","
		-8
		","
		9—10/14—15/18—19/22—23/26—27/30—31
		"
10,"<h1 class=""charactername"">
villager
</h1>","
		Down Smash
		","
		9/29
		","
		-35/-15
		","
		9(10—11)/29(30—31)
		"
11,"<h1 class=""charactername"">
villager
</h1>","
		Neutral Air
		","
		3
		","
		-4/-5
		","
		3—10(11—23)
		"
12,"<h1 class=""charactername"">
villager
</h1>","
		Forward Air
		","
		10
		","
		-4
		","
		10—12(13—18/19—23)
		"
13,"<h1 class=""charactername"">
villager
</h1>","
		Back Air
		","
		13
		","
		-3
		","
		13—15(16—21/22—26)
		"
14,"<h1 class=""charactername"">
villager
</h1>","
		Up Air
		","
		6
		","
		-7/-8/-8
		","
		6—7(8—21)
		"
15,"<h1 class=""charactername"">
villager
</h1>","
		Down Air
		","
		11
		","
		-7/-8/-8
		","
		11—12(13—26)
		"
16,"<h1 class=""charactername"">
villager
</h1>","
		Neutral B (Pocket)
		","
		8 (Start of projectile pocket)
		","
		**
		","
		8—23 (pocket)
		"
17,"<h1 class=""charactername"">
villager
</h1>","
		Pocket, Throw
		","
		9
		","
		**
		","
		**
		"
18,"<h1 class=""charactername"">
villager
</h1>","
		Side B (Lloid Rocket)
		","
		52
		","
		+27
		","
		52—116(117—176)
		"
19,"<h1 class=""charactername"">
villager
</h1>","
		Up B (Balloon Trip)
		","
		**
		","
		--
		","
		**
		"
20,"<h1 class=""charactername"">
villager
</h1>","
		Down B (Timber Plant, Timber Water)
		","
		--, 5
		","
		--
		","
		--, 5—20
		"
21,"<h1 class=""charactername"">
villager
</h1>","
		Timber Tree Grow/Fall
		","
		46/16
		","
		+14 / -11
		","
		**
		"
22,"<h1 class=""charactername"">
villager
</h1>","
		Timber Axe
		","
		6
		","
		-28/-35
		","
		6—8
		"
23,"<h1 class=""charactername"">
villager
</h1>","
		Grab
		","
		14
		","
		-28/-35
		","
		14—16
		"
24,"<h1 class=""charactername"">
villager
</h1>","
		Dash Grab
		","
		16
		","
		-28/-35
		","
		16—18
		"
25,"<h1 class=""charactername"">
villager
</h1>","
		Pivot Grab
		","
		17
		","
		-28/-35
		","
		17—19
		"
26,"<h1 class=""charactername"">
villager
</h1>","
		Pummel
		","
		3
		","
		-28/-35
		","
		17—19
		"
27,"<h1 class=""charactername"">
villager
</h1>","
		Forward Throw
		","
		15
		","
		-28/-35
		","
		17—19
		"
28,"<h1 class=""charactername"">
villager
</h1>","
		Backward Throw
		","
		11
		","
		-28/-35
		","
		17—19
		"
29,"<h1 class=""charactername"">
villager
</h1>","
		Up Throw
		","
		13
		","
		-28/-35
		","
		17—19
		"
30,"<h1 class=""charactername"">
villager
</h1>","
		Down Throw
		","
		18
		","
		-28/-35
		","
		17—19
		"
31,"<h1 class=""charactername"">
villager
</h1>","
		Spot Dodge
		","
		18
		","
		-28/-35
		","
		17—19
		"
32,"<h1 class=""charactername"">
villager
</h1>","
		Forward Roll
		","
		18
		","
		-28/-35
		","
		17—19
		"
33,"<h1 class=""charactername"">
villager
</h1>","
		Backward Roll
		","
		18
		","
		-28/-35
		","
		17—19
		"
34,"<h1 class=""charactername"">
villager
</h1>","
		Neutral Air Dodge
		","
		18
		","
		-28/-35
		","
		17—19
		"
35,"<h1 class=""charactername"">
villager
</h1>","
		Air Dodge, Down
		","
		18
		","
		-28/-35
		","
		17—19
		"
36,"<h1 class=""charactername"">
villager
</h1>","
		Air Dodge, Diagonally Down
		","
		18
		","
		-28/-35
		","
		17—19
		"
37,"<h1 class=""charactername"">
villager
</h1>","
		Air Dodge, Left/Right
		","
		18
		","
		-28/-35
		","
		17—19
		"
38,"<h1 class=""charactername"">
villager
</h1>","
		Air Dodge, Diagonally Up
		","
		18
		","
		-28/-35
		","
		17—19
		"
39,"<h1 class=""charactername"">
villager
</h1>","
		Air Dodge, Up
		","
		18
		","
		-28/-35
		","
		17—19
		"
40,"<h1 class=""charactername"">
villager
</h1>","
			Ledge Grab
		","
		18
		","
		-28/-35
		","
		17—19
		"
41,"<h1 class=""charactername"">
villager
</h1>","
			Ledge Grab
		","
		18
		","
		-28/-35
		","
		17—19
		"
42,"<h1 class=""charactername"">
villager
</h1>","
				Ledge Hang
			","
		18
		","
		-28/-35
		","
		17—19
		"
