,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Jab 1
		","
		4
		","
		-18
		","
		4—5
		"
1,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Jab 2
		","
		3
		","
		-23
		","
		3—4
		"
2,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Jab 3
		","
		5
		","
		-30
		","
		5—6
		"
3,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Forward Tilt
		","
		6
		","
		-16
		","
		6—10
		"
4,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Up Tilt
		","
		5
		","
		-14
		","
		5—12
		"
5,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Down Tilt
		","
		9
		","
		-17
		","
		9—12
		"
6,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Dash Attack
		","
		6
		","
		-20
		","
		6—8(9—13)
		"
7,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Forward Smash
		","
		16
		","
		-30
		","
		16—19
		"
8,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Up Smash
		","
		11
		","
		-33/-31
		","
		11—12(13—19)
		"
9,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Down Smash
		","
		18
		","
		-25
		","
		18—21
		"
10,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Neutral Air
		","
		9/12
		","
		-5/-4
		","
		9—11/12—13
		"
11,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Forward Air
		","
		9
		","
		-2/-4/-3/-4
		","
		9(10/11—15)
		"
12,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Back Air
		","
		5
		","
		-7/-8/-9
		","
		5(6—11)
		"
13,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Up Air
		","
		6
		","
		-5
		","
		6—10
		"
14,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Down Air
		","
		15
		","
		-7
		","
		15—17(18—20)
		"
15,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Neutral B (Sun Salutation)
		","
		4(+17)
		","
		-26 to -16
		","
		21—90
		"
16,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Sun Salutation, Full Charge
		","
		21
		","
		-16
		","
		21—90
		"
17,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Side B (Header)
		","
		15—31
		","
		-11/-13
		","
		**
		"
18,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Up B (Super Hoop)
		","
		6/23/40
		","
		**
		","
		**
		"
19,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Down B (Deep Breathing)
		","
		39
		","
		--
		","
		**
		"
20,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Grab
		","
		6
		","
		--
		","
		6—7
		"
21,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Dash Grab
		","
		9
		","
		--
		","
		9—10
		"
22,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Pivot Grab
		","
		10
		","
		--
		","
		10—11
		"
23,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Pummel
		","
		1
		","
		--
		","
		10—11
		"
24,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Forward Throw
		","
		36/38
		","
		--
		","
		10—11
		"
25,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Backward Throw
		","
		19/21
		","
		--
		","
		10—11
		"
26,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Up Throw
		","
		28
		","
		--
		","
		10—11
		"
27,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Down Throw
		","
		24
		","
		--
		","
		10—11
		"
28,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Spot Dodge
		","
		24
		","
		--
		","
		10—11
		"
29,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Forward Roll
		","
		24
		","
		--
		","
		10—11
		"
30,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Backward Roll
		","
		24
		","
		--
		","
		10—11
		"
31,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Neutral Air Dodge
		","
		24
		","
		--
		","
		10—11
		"
32,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Air Dodge, Down
		","
		24
		","
		--
		","
		10—11
		"
33,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Air Dodge, Diagonally Down
		","
		24
		","
		--
		","
		10—11
		"
34,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Air Dodge, Left/Right
		","
		24
		","
		--
		","
		10—11
		"
35,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Air Dodge, Diagonally Up
		","
		24
		","
		--
		","
		10—11
		"
36,"<h1 class=""charactername"">
wii fit trainer
</h1>","
		Air Dodge, Up
		","
		24
		","
		--
		","
		10—11
		"
37,"<h1 class=""charactername"">
wii fit trainer
</h1>","
			Ledge Grab
		","
		24
		","
		--
		","
		10—11
		"
38,"<h1 class=""charactername"">
wii fit trainer
</h1>","
			Ledge Grab
		","
		24
		","
		--
		","
		10—11
		"
39,"<h1 class=""charactername"">
wii fit trainer
</h1>","
				Ledge Hang
			","
		24
		","
		--
		","
		10—11
		"
