,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,4,21,-14,4
1,Jab 2,4,21,-17,4
2,Jab 3,4,34,-25,4
3,Forward Tilt,8/9,34,-19,8/9—10
4,Up Tilt,7,35,-18,7—11
5,Down Tilt,5,27,-16,5—6
6,Dash Attack,11,37,-16,11—14/15—18
7,Forward Smash,20,41,-10,20—23
8,Up Smash,13/20,47,-29/-19,13—15/20—23
9,Down Smash,14/21,43,-19/-18/-14/-12,14—15/21—22
10,Neutral Air,7,42,-4/-5,7—9/10—26
11,Forward Air,7,40,-6,7—9
12,Back Air,13,44,-10/-11,13—15
13,Up Air,7,38,-5,7—9
14,Down Air,16,53,-14/-14,16—17
15,Neutral B (Blaster),15/16,52,-24,15—19/16—50
16,Side B (Wolf Flash),18,**,**,**
17,Up B (Fire Wolf),18...,66,-24,18—20/27—32(Rehit :2)/37—38
18,Down B (Reflector),6,30,-19,**
19,Grab,6,36,-19,**
20,Dash Grab,8,44,-19,**
21,Pivot Grab,9,39,-19,**
22,Pummel,1,19,-19,**
23,Forward Throw,10/11,32,-19,**
24,Backward Throw,23/24,47,-19,**
25,Up Throw,26/27,45,-19,**
26,Down Throw,26,40,-19,**
27,Spot Dodge,26,20/25,-19,**
28,Forward Roll,26,29,-19,**
29,Backward Roll,26,34,-19,**
30,Neutral Air Dodge,26,44,-19,**
31,"Air Dodge, Down",26,61,-19,**
32,"Air Dodge, Diagonally Down",26,68,-19,**
33,"Air Dodge, Left/Right",26,73,-19,**
34,"Air Dodge, Diagonally Up",26,84,-19,**
35,"Air Dodge, Up",26,93,-19,**
36,Ledge Grab,26,93,-19,**
37,Ledge Grab,26,93,-19,**
38,Ledge Hang,26,93,-19,**
