,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
young link
</h1>","
		Jab 1
		","
		4
		","
		-10
		","
		4—5
		"
1,"<h1 class=""charactername"">
young link
</h1>","
		Jab 2
		","
		6
		","
		-7
		","
		6—7
		"
2,"<h1 class=""charactername"">
young link
</h1>","
		Jab 3
		","
		6
		","
		-25
		","
		6—7
		"
3,"<h1 class=""charactername"">
young link
</h1>","
		Rapid Jab
		","
		3/5/7
		","
		--
		","
		**
		"
4,"<h1 class=""charactername"">
young link
</h1>","
		Rapid Jab Finisher
		","
		4
		","
		-37
		","
		4—5
		"
5,"<h1 class=""charactername"">
young link
</h1>","
		Forward Tilt
		","
		10
		","
		-12/-13
		","
		10—12
		"
6,"<h1 class=""charactername"">
young link
</h1>","
		Up Tilt
		","
		9
		","
		-14
		","
		9—14
		"
7,"<h1 class=""charactername"">
young link
</h1>","
		Down Tilt
		","
		8
		","
		-7/-8/-10
		","
		8—9
		"
8,"<h1 class=""charactername"">
young link
</h1>","
		Dash Attack
		","
		8
		","
		-16
		","
		8—10
		"
9,"<h1 class=""charactername"">
young link
</h1>","
		Forward Smash 1
		","
		15
		","
		-27
		","
		15—16
		"
10,"<h1 class=""charactername"">
young link
</h1>","
		Forward Smash 2
		","
		11
		","
		-30
		","
		11—12
		"
11,"<h1 class=""charactername"">
young link
</h1>","
		Up Smash
		","
		10/25/41
		","
		-22
		","
		10—14/25—29/41—45
		"
12,"<h1 class=""charactername"">
young link
</h1>","
		Down Smash
		","
		9/21
		","
		-31/-33/-20/-21
		","
		9—10/21—22
		"
13,"<h1 class=""charactername"">
young link
</h1>","
		Neutral Air
		","
		4
		","
		-2/-3
		","
		4—5(6—27)
		"
14,"<h1 class=""charactername"">
young link
</h1>","
		Forward Air
		","
		14/24
		","
		-3/-2
		","
		14—15/24—25
		"
15,"<h1 class=""charactername"">
young link
</h1>","
		Back Air
		","
		6/18
		","
		-3/-3
		","
		6—8/18—20
		"
16,"<h1 class=""charactername"">
young link
</h1>","
		Up Air
		","
		5
		","
		-9
		","
		5—7(8—49)
		"
17,"<h1 class=""charactername"">
young link
</h1>","
		Down Air
		","
		13
		","
		**
		","
		13—15(16—64)
		"
18,"<h1 class=""charactername"">
young link
</h1>","
		Z Air
		","
		9
		","
		-3 
		","
		9—16
		"
19,"<h1 class=""charactername"">
young link
</h1>","
		Neutral B (Fire Arrow)
		","
		14—47
		","
		-16 to -10
		","
		**
		"
20,"<h1 class=""charactername"">
young link
</h1>","
		Side B (Boomerang)
		","
		27
		","
		-8 to -4
		","
		27—29(30—82/83—153)
		"
21,"<h1 class=""charactername"">
young link
</h1>","
		Up B (Spin Attack)
		","
		9...
		","
		-17
		","
		9—47/49 (rehit: 4)
		"
22,"<h1 class=""charactername"">
young link
</h1>","
		Up B, Air (Spin Attack, Air)
		","
		8/12/16/19/22/26/31/39/47
		","
		--
		","
		8—10/12—13/16—18/19—20/22—24/26—27/31—33/39—40/47—51
		"
23,"<h1 class=""charactername"">
young link
</h1>","
		Down B (Bomb Pull)
		","
		17
		","
		--
		","
		**
		"
24,"<h1 class=""charactername"">
young link
</h1>","
		Grab
		","
		12
		","
		--
		","
		12—18
		"
25,"<h1 class=""charactername"">
young link
</h1>","
		Dash Grab
		","
		14
		","
		--
		","
		14—20
		"
26,"<h1 class=""charactername"">
young link
</h1>","
		Pivot Grab
		","
		15
		","
		--
		","
		15—21
		"
27,"<h1 class=""charactername"">
young link
</h1>","
		Pummel
		","
		1
		","
		--
		","
		15—21
		"
28,"<h1 class=""charactername"">
young link
</h1>","
		Forward Throw
		","
		11/13
		","
		--
		","
		15—21
		"
29,"<h1 class=""charactername"">
young link
</h1>","
		Backward Throw
		","
		11/13
		","
		--
		","
		15—21
		"
30,"<h1 class=""charactername"">
young link
</h1>","
		Up Throw
		","
		26/29
		","
		--
		","
		15—21
		"
31,"<h1 class=""charactername"">
young link
</h1>","
		Down Throw
		","
		22/28
		","
		--
		","
		15—21
		"
32,"<h1 class=""charactername"">
young link
</h1>","
		Spot Dodge
		","
		22/28
		","
		--
		","
		15—21
		"
33,"<h1 class=""charactername"">
young link
</h1>","
		Forward Roll
		","
		22/28
		","
		--
		","
		15—21
		"
34,"<h1 class=""charactername"">
young link
</h1>","
		Backward Roll
		","
		22/28
		","
		--
		","
		15—21
		"
35,"<h1 class=""charactername"">
young link
</h1>","
		Neutral Air Dodge
		","
		22/28
		","
		--
		","
		15—21
		"
36,"<h1 class=""charactername"">
young link
</h1>","
		Air Dodge, Down
		","
		22/28
		","
		--
		","
		15—21
		"
37,"<h1 class=""charactername"">
young link
</h1>","
		Air Dodge, Diagonally Down
		","
		22/28
		","
		--
		","
		15—21
		"
38,"<h1 class=""charactername"">
young link
</h1>","
		Air Dodge, Left/Right
		","
		22/28
		","
		--
		","
		15—21
		"
39,"<h1 class=""charactername"">
young link
</h1>","
		Air Dodge, Diagonally Up
		","
		22/28
		","
		--
		","
		15—21
		"
40,"<h1 class=""charactername"">
young link
</h1>","
		Air Dodge, Up
		","
		22/28
		","
		--
		","
		15—21
		"
41,"<h1 class=""charactername"">
young link
</h1>","
			Ledge Grab
		","
		22/28
		","
		--
		","
		15—21
		"
42,"<h1 class=""charactername"">
young link
</h1>","
			Ledge Grab
		","
		22/28
		","
		--
		","
		15—21
		"
43,"<h1 class=""charactername"">
young link
</h1>","
				Ledge Hang
			","
		22/28
		","
		--
		","
		15—21
		"
