,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Jab 1
		","
		1
		","
		-19
		","
		1
		"
1,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Jab 2
		","
		2
		","
		-20
		","
		2
		"
2,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Jab 3
		","
		3
		","
		-27
		","
		3—4
		"
3,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Forward Tilt
		","
		6
		","
		-15/-14
		","
		6—8
		"
4,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Up Tilt
		","
		3/9
		","
		-36/-29
		","
		3—4/9—10
		"
5,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Down Tilt
		","
		8
		","
		-13
		","
		8—9
		"
6,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Dash Attack
		","
		7
		","
		-36
		","
		7—9(10—19)
		"
7,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Forward Smash
		","
		13/26
		","
		-30
		","
		13—14/26—28
		"
8,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Up Smash
		","
		10/14/17/20/23/26/28
		","
		-17
		","
		10—11/14/17/20/23/26/28—29
		"
9,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Down Smash
		","
		20
		","
		-15/-16
		","
		20—24
		"
10,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Neutral Air
		","
		10
		","
		-2
		","
		10—11(15—16)
		"
11,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Forward Air
		","
		6/13
		","
		-7/-7
		","
		6—7/13—14
		"
12,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Back Air
		","
		8
		","
		-6/-5
		","
		8—9
		"
13,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Up Air
		","
		6
		","
		-2
		","
		6—12
		"
14,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Down Air
		","
		14
		","
		-17
		","
		14—49/1—3
		"
15,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Z Air
		","
		9
		","
		-2
		","
		9—19
		"
16,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Neutral B (Paralyzer)
		","
		21—43
		","
		-20 to -18
		","
		21—44 (no charge) || 43—90 (max charge)
		"
17,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Side B (Plasma Whip)
		","
		22/24/26/28/31
		","
		-15
		","
		22—23/24—25/26—27/28—29/31—35
		"
18,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Up B (Boost Kick)
		","
		4/10...
		","
		--
		","
		4/10—22/26/32—33 (rehit: 4)
		"
19,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Down B (Flip Jump)
		","
		--
		","
		**
		","
		**
		"
20,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Flip Jump, Kick
		","
		9
		","
		-36
		","
		9—12
		"
21,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Grab
		","
		15
		","
		-36
		","
		15—25
		"
22,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Dash Grab
		","
		17
		","
		-36
		","
		17—26
		"
23,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Pivot Grab
		","
		18
		","
		-36
		","
		18—26
		"
24,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Pummel
		","
		1
		","
		-36
		","
		18—26
		"
25,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Forward Throw
		","
		8/9
		","
		-36
		","
		18—26
		"
26,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Backward Throw
		","
		9/11
		","
		-36
		","
		18—26
		"
27,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Up Throw
		","
		3/5
		","
		-36
		","
		18—26
		"
28,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Down Throw
		","
		20/22
		","
		-36
		","
		18—26
		"
29,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Spot Dodge
		","
		20/22
		","
		-36
		","
		18—26
		"
30,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Forward Roll
		","
		20/22
		","
		-36
		","
		18—26
		"
31,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Backward Roll
		","
		20/22
		","
		-36
		","
		18—26
		"
32,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Neutral Air Dodge
		","
		20/22
		","
		-36
		","
		18—26
		"
33,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Air Dodge, Down
		","
		20/22
		","
		-36
		","
		18—26
		"
34,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Air Dodge, Diagonally Down
		","
		20/22
		","
		-36
		","
		18—26
		"
35,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Air Dodge, Left/Right
		","
		20/22
		","
		-36
		","
		18—26
		"
36,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Air Dodge, Diagonally Up
		","
		20/22
		","
		-36
		","
		18—26
		"
37,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Air Dodge, Up
		","
		20/22
		","
		-36
		","
		18—26
		"
38,"<h1 class=""charactername"">
zero suit samus
</h1>","
			Ledge Grab
		","
		20/22
		","
		-36
		","
		18—26
		"
39,"<h1 class=""charactername"">
zero suit samus
</h1>","
			Ledge Grab
		","
		20/22
		","
		-36
		","
		18—26
		"
40,"<h1 class=""charactername"">
zero suit samus
</h1>","
				Ledge Hang
			","
		20/22
		","
		-36
		","
		18—26
		"
